,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.9,1.36,1.59,1.59,1.26,0.63,0.77,0.7,0.54,0.55,0.57,0.44,0.55,0.9,0.42
f_1,1.51,0.66,1.06,1.47,1.58,1.25,0.47,0.57,0.67,0.49,0.47,0.77,0.31,0.45,0.39,0.48
d_1,1.74,1.62,0.64,1.66,1.23,1.15,0.67,0.8,0.43,0.54,0.48,0.56,0.43,0.43,0.46,0.29
c_1,1.2,1.61,1.8,0.64,1.66,1.21,0.67,0.34,0.86,0.69,0.55,0.54,0.42,0.51,0.48,0.41
b_1,1.5,1.65,2.02,0.86,0.63,2.23,0.75,0.52,0.66,0.8,1.12,0.49,0.41,0.6,0.44,0.44
a_1,2.01,1.92,1.9,2.02,0.9,0.58,0.97,0.68,0.75,0.62,0.7,0.57,0.6,0.89,0.76,0.58
h_1,2.23,2.47,2.05,2.23,2.03,1.74,0.57,0.93,1.01,0.71,0.77,0.73,0.97,0.66,0.71,0.74
d_0,1.37,2.42,2.93,2.79,2.55,2.1,1.0,0.63,1.2,0.67,0.76,0.79,0.78,0.72,0.72,0.78
g_1,2.24,2.59,2.84,2.34,2.27,2.0,0.87,0.96,0.54,0.92,0.84,0.9,0.6,0.93,0.75,0.79
c_0,2.54,2.45,1.52,4.76,2.28,2.52,1.29,1.29,1.06,0.62,0.99,0.93,0.77,0.9,0.77,0.78
b_0,2.33,2.59,2.26,3.1,3.54,2.17,1.13,1.0,1.2,0.56,0.6,0.86,0.94,0.83,0.89,0.79
f_0,2.52,3.28,2.87,2.56,2.31,2.13,1.3,1.08,0.79,0.86,0.88,0.59,0.92,0.85,0.94,0.59
h_0,2.77,3.39,2.8,2.72,2.67,2.06,1.61,0.94,1.33,1.03,0.88,0.9,1.07,0.78,0.74,0.88
a_0,2.23,3.14,3.2,3.06,3.12,4.0,1.61,1.06,1.15,0.88,0.68,1.0,0.98,0.58,0.92,0.73
e_0,3.22,3.73,2.62,3.09,2.93,2.51,1.4,1.12,1.17,1.06,0.89,0.59,0.88,1.03,0.59,0.82
g_0,3.02,3.07,3.2,3.32,2.76,2.68,0.94,1.02,1.76,0.92,0.93,1.15,0.69,0.97,0.85,1.12
