,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,35.35,0.06,0.08,0.06,0.08,0.06,0.3,0.73,0.24,0.31,0.28,0.39,0.68,0.36,,0.47
f_1,0.11,38.42,0.06,0.07,0.06,0.11,0.24,0.36,0.24,0.36,0.5,,0.74,0.25,0.23,0.53
c_1,0.07,0.07,39.41,0.06,0.13,0.06,0.42,0.33,0.31,,0.28,0.35,0.64,0.29,0.33,0.47
d_1,0.06,0.06,0.06,42.44,0.08,0.04,0.18,,0.32,0.91,0.39,0.35,0.6,0.33,0.37,0.55
b_1,0.05,0.05,0.07,0.07,49.42,0.12,0.29,0.37,0.3,0.47,,0.38,0.52,0.28,0.4,0.73
a_1,0.07,0.07,0.04,0.05,0.07,74.12,0.41,0.45,,0.44,0.38,0.27,0.76,,0.41,0.42
h_1,0.26,0.4,0.27,0.19,0.26,0.29,30.09,1.24,1.69,0.94,1.68,1.79,,1.54,1.03,2.55
d_0,0.37,0.33,0.72,,0.37,0.33,1.67,17.45,1.59,1.8,1.65,1.29,2.83,1.75,2.17,3.01
g_1,0.29,0.18,0.22,0.37,0.24,0.19,0.97,0.99,34.61,1.42,1.35,2.77,2.87,,2.0,
c_0,0.29,0.44,,0.36,0.26,0.39,1.63,2.02,1.3,17.05,3.93,2.24,2.48,2.61,1.93,2.87
b_0,0.33,0.34,0.41,0.45,,0.32,1.52,1.91,1.23,1.71,21.36,1.75,2.42,3.66,2.08,2.59
f_0,0.28,,0.34,0.35,0.33,0.32,1.44,2.18,1.44,2.12,1.99,21.89,2.9,2.55,3.64,3.49
h_0,0.58,0.58,0.51,0.6,0.52,0.46,,2.98,3.11,3.38,2.54,2.49,,3.1,2.81,7.58
a_0,0.41,0.48,0.24,0.21,0.24,,1.56,2.26,1.3,2.87,2.19,1.73,3.11,30.35,,2.34
e_0,,0.51,0.43,0.42,0.33,0.39,1.39,2.0,1.29,,1.73,1.72,3.5,,34.86,2.94
g_0,0.47,0.41,0.5,1.13,0.39,0.59,2.41,2.73,,2.7,1.68,5.51,3.75,3.39,2.73,
