,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.47,1.68,1.82,1.46,1.53,1.61,3.21,2.89,5.26,3.13,4.55,3.63,4.4,4.17,3.95,4.4
e_1,1.42,2.49,1.51,2.05,1.83,1.74,3.22,3.27,3.37,5.38,3.42,4.41,4.82,4.0,3.47,4.68
f_1,1.49,2.45,2.51,1.75,1.6,1.43,2.63,3.33,3.37,3.75,3.67,2.85,4.27,3.86,2.78,3.71
c_1,1.73,1.44,1.56,2.7,2.63,1.81,3.25,3.12,2.7,3.02,2.76,3.95,4.22,3.14,3.34,4.41
b_1,1.83,1.44,1.85,1.45,2.85,2.7,3.46,3.2,3.54,3.28,3.12,3.44,4.35,2.8,4.11,4.77
a_1,1.83,1.71,1.92,1.69,1.34,3.33,3.53,3.33,3.39,4.06,3.59,3.66,5.33,2.91,4.41,4.68
h_1,1.77,1.61,2.04,1.79,1.74,1.7,4.24,3.71,3.48,3.42,3.63,3.35,4.24,3.73,3.83,5.5
g_1,2.29,1.42,1.37,1.75,1.83,1.73,3.35,4.69,3.71,3.18,3.71,4.65,4.45,4.34,4.61,4.26
c_0,1.64,1.79,1.74,1.71,1.54,1.84,3.45,3.46,4.43,4.41,5.51,3.84,5.03,5.0,4.0,4.83
d_0,1.44,1.55,1.77,2.65,1.9,1.65,3.5,3.53,2.64,4.5,3.15,4.11,4.81,3.75,4.05,4.85
b_0,1.85,1.79,1.71,1.88,1.35,1.59,3.53,3.61,3.43,3.95,4.68,3.47,5.08,6.9,3.89,5.03
f_0,1.82,1.34,1.77,1.7,1.78,2.12,3.89,3.4,3.75,3.43,3.97,4.81,5.25,4.27,7.0,4.57
h_0,1.84,1.7,2.06,1.77,1.73,1.45,2.87,3.87,3.7,3.31,3.35,3.4,4.14,4.18,3.15,5.31
a_0,1.82,1.72,1.73,2.0,1.74,1.68,3.54,3.48,3.63,3.75,3.36,3.82,4.79,5.2,3.51,4.49
e_0,1.85,1.57,1.99,1.79,1.75,1.71,3.57,3.26,4.01,3.47,4.1,3.25,5.59,4.31,5.35,4.97
g_0,2.15,1.55,1.81,1.68,1.51,1.79,3.11,3.3,3.89,3.24,3.65,4.7,4.25,4.41,3.83,4.47
