,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.28,0.92,0.68,1.01,0.77,0.64,1.46,3.08,1.4,1.54,1.88,1.73,1.25,2.1,0.95,2.12
f_1,1.45,2.35,0.8,0.82,0.6,0.54,1.43,1.61,1.32,1.6,1.54,0.8,1.43,2.04,0.93,1.53
d_1,0.9,0.88,2.45,0.65,0.66,0.57,1.79,1.03,1.44,3.07,1.89,1.71,1.64,2.1,1.72,2.12
c_1,0.82,0.77,0.79,2.46,1.43,0.65,1.48,1.57,1.14,0.86,1.11,1.57,1.31,2.02,1.35,2.02
b_1,0.76,0.86,0.83,0.86,2.62,1.28,1.38,1.67,1.27,1.41,0.99,1.47,1.07,1.96,1.67,1.54
a_1,0.88,1.01,0.79,0.9,0.8,3.17,1.63,1.43,1.26,1.68,1.72,1.66,0.88,1.95,1.47,1.65
h_1,1.07,1.32,0.91,0.83,0.8,0.55,3.31,1.62,1.81,1.59,1.74,1.52,1.63,1.75,1.63,2.76
d_0,0.85,0.93,0.6,1.69,0.89,0.66,1.45,3.04,1.48,1.23,1.84,1.76,1.67,2.29,1.43,1.7
g_1,0.83,0.79,1.39,0.92,0.8,0.57,1.77,1.5,3.66,2.03,1.86,2.68,1.73,2.25,1.99,1.74
c_0,0.97,1.07,1.06,0.79,0.55,0.6,1.82,1.93,1.62,3.16,3.64,2.01,2.18,2.42,1.66,2.29
b_0,0.97,1.09,0.93,0.98,0.64,0.48,1.97,1.94,1.78,1.98,3.2,1.89,3.35,2.55,1.81,2.21
f_0,0.76,0.7,1.08,1.01,0.99,0.7,1.85,1.98,1.6,1.83,2.14,3.24,1.76,2.41,3.36,2.66
a_0,1.1,0.99,0.94,0.94,0.83,0.57,1.85,1.9,1.42,1.74,1.68,1.92,3.49,2.47,1.72,1.92
h_0,0.96,1.25,1.07,0.87,0.78,0.55,1.23,1.74,2.07,1.89,1.73,1.75,1.65,1.92,1.62,3.02
e_0,0.71,1.1,1.07,0.97,0.86,0.92,1.55,1.57,1.46,1.93,2.19,1.9,1.72,2.83,3.25,2.37
g_0,0.85,0.85,1.43,0.85,0.93,0.59,1.67,1.48,1.14,1.81,1.65,2.76,1.45,2.33,2.06,1.62
