,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,1.25,1.24,1.37,3.58,18.79,31.92,29.71,29.3,39.83,45.59,75.76,91.55,112.24,157.89
f_1,1.23,1.0,1.16,0.83,1.51,2.75,14.62,26.54,25.43,27.87,34.67,41.27,63.87,62.63,86.21,105.72
c_1,0.8,0.86,1.0,1.2,1.75,2.5,18.07,12.94,17.9,27.56,31.88,29.73,59.37,61.28,96.91,105.25
d_1,0.81,1.21,0.83,1.0,1.17,2.35,13.85,20.45,29.03,18.11,26.75,32.52,57.74,66.53,69.2,75.09
b_1,0.73,0.66,0.57,0.86,1.0,3.59,12.97,18.16,17.6,18.6,20.69,30.19,48.03,51.72,59.35,87.23
a_1,0.28,0.36,0.4,0.42,0.28,1.0,5.37,6.36,7.11,8.47,10.03,15.95,,27.42,40.43,33.33
h_1,0.05,0.07,0.06,0.07,0.08,0.19,1.0,1.2,1.42,1.89,1.94,2.17,3.58,3.86,6.82,8.66
d_0,0.03,0.04,0.08,0.05,0.06,0.15,0.82,1.0,1.07,1.07,1.58,1.64,2.7,3.63,4.65,4.96
c_0,0.03,0.04,0.05,0.04,0.06,0.15,0.69,0.97,1.0,1.18,1.91,1.49,2.72,2.9,5.26,4.65
g_1,0.03,0.04,0.04,0.06,0.05,0.12,0.53,0.91,0.83,1.0,1.24,1.67,2.13,2.46,3.68,4.14
b_0,0.02,0.03,0.03,0.04,0.05,0.1,0.51,0.62,0.51,0.88,1.0,0.95,3.07,1.96,3.19,3.34
f_0,0.02,0.03,0.03,0.03,0.03,0.07,0.45,0.59,0.64,0.58,1.08,1.0,2.0,1.62,3.96,2.47
a_0,0.01,0.02,0.02,0.02,0.02,,0.26,0.35,0.39,0.47,0.34,0.51,1.0,1.03,1.49,1.94
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.26,0.27,0.36,0.41,0.53,0.6,0.95,1.0,1.47,1.69
e_0,0.01,0.01,0.01,0.01,0.02,0.02,0.15,0.24,0.21,0.28,0.32,0.26,0.67,0.71,1.0,1.09
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.2,0.2,0.24,0.29,0.41,0.52,0.59,0.94,1.0
