,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.17,0.7,0.62,0.79,0.92,0.64,0.17,0.3,0.16,0.16,0.15,0.46,0.09,0.18,0.14,0.18
e_1,0.4,0.16,0.87,0.88,0.77,0.82,0.29,0.24,0.17,0.17,0.2,0.21,0.13,0.17,0.13,0.46
d_1,0.81,0.85,0.16,0.72,0.76,0.75,0.18,0.14,0.16,0.42,0.16,0.16,0.11,0.13,0.08,0.15
c_1,0.93,0.62,0.91,0.14,0.75,0.76,0.23,0.2,0.34,0.08,0.14,0.14,0.12,0.16,0.11,0.12
b_1,0.86,0.77,0.85,0.43,0.14,0.84,0.28,0.26,0.2,0.16,0.37,0.15,0.12,0.16,0.13,0.17
a_1,0.95,0.71,0.79,1.03,0.43,0.09,0.24,0.26,0.12,0.17,0.16,0.12,0.13,0.39,0.09,0.15
h_1,0.68,0.62,0.58,0.69,0.54,0.6,0.06,0.19,0.13,0.13,0.13,0.11,0.14,0.12,0.08,0.11
g_1,0.69,0.71,0.55,0.73,0.64,0.58,0.13,0.05,0.12,0.11,0.11,0.13,0.07,0.11,0.12,0.11
c_0,0.75,0.62,0.31,1.66,0.63,0.66,0.16,0.17,0.07,0.17,0.13,0.12,0.09,0.14,0.08,0.12
d_0,0.64,0.33,1.02,0.69,0.69,0.57,0.18,0.22,0.13,0.07,0.13,0.11,0.09,0.16,0.1,0.12
b_0,0.71,0.69,0.5,0.92,1.1,0.47,0.17,0.15,0.07,0.12,0.05,0.1,0.09,0.11,0.08,0.12
f_0,1.1,0.63,0.59,0.54,0.63,0.56,0.2,0.11,0.11,0.12,0.12,0.05,0.08,0.1,0.06,0.09
h_0,0.61,0.58,0.55,0.73,0.56,0.47,0.28,0.18,0.12,0.14,0.12,0.12,0.16,0.1,0.09,0.1
a_0,0.59,0.57,0.62,0.74,0.77,0.92,0.17,0.18,0.11,0.13,0.06,0.11,0.07,0.04,0.08,0.12
g_0,0.71,0.57,0.59,0.64,0.66,0.58,0.11,0.25,0.12,0.13,0.12,0.12,0.06,0.11,0.14,0.13
e_0,0.91,1.17,0.57,0.6,0.66,0.54,0.15,0.15,0.12,0.11,0.1,0.05,0.12,0.14,0.07,0.04
