,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.77,0.43,0.35,0.41,0.35,0.32,0.69,0.56,1.52,0.88,0.78,0.65,0.93,1.04,0.19,0.82
f_1,0.66,3.79,0.43,0.4,0.36,0.39,0.7,0.81,0.69,0.65,0.76,0.14,0.79,0.65,0.59,0.79
d_1,0.33,0.43,4.12,0.34,0.37,0.42,0.66,0.89,0.16,1.58,0.96,0.81,0.89,0.64,0.98,0.86
c_1,0.38,0.4,0.34,4.42,0.76,0.33,0.64,0.71,0.76,0.17,0.56,0.74,0.85,0.93,1.0,0.74
b_1,0.42,0.38,0.44,0.42,4.91,0.71,0.67,0.67,0.79,0.71,0.2,0.92,0.91,0.51,0.58,0.74
a_1,0.4,0.42,0.41,0.29,0.31,7.78,0.98,0.72,0.69,0.87,0.85,1.2,0.99,0.21,0.86,0.78
h_1,0.62,0.98,0.75,0.62,0.66,0.5,5.66,1.54,1.25,1.38,1.56,1.4,0.46,0.93,1.26,2.14
g_1,0.52,0.56,1.1,0.56,0.67,0.7,1.13,5.9,1.29,1.53,1.87,2.13,1.44,1.21,1.46,1.05
d_0,0.67,0.73,0.2,1.44,0.73,0.45,1.77,1.25,3.75,0.89,1.26,1.55,1.59,1.73,1.46,1.56
c_0,0.78,0.91,0.65,0.29,0.48,0.59,1.76,1.72,1.67,3.85,2.94,1.42,1.67,1.93,1.64,1.7
b_0,0.75,0.73,0.73,0.77,0.23,0.72,1.41,1.21,1.36,1.32,4.37,1.6,1.7,3.13,1.53,1.77
f_0,0.54,0.36,0.76,0.88,0.76,0.61,1.26,1.3,1.57,1.45,1.8,4.93,2.03,1.76,4.03,1.67
h_0,0.64,0.85,0.75,0.73,0.68,0.71,0.54,1.21,1.3,1.2,1.3,1.61,0.54,1.55,1.46,2.7
a_0,0.57,0.81,0.69,0.92,0.78,,1.73,1.19,1.46,1.16,1.72,1.45,1.51,5.98,1.38,1.25
e_0,0.32,0.65,0.83,0.91,0.75,0.7,1.44,1.3,1.8,1.63,1.61,1.97,1.62,1.0,6.6,2.11
g_0,0.53,0.49,1.31,0.81,0.57,0.77,1.39,0.54,1.1,1.15,1.19,2.91,1.4,1.34,1.56,0.82
