,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.17,0.37,0.66,0.71,0.7,0.75,0.23,0.17,0.15,0.19,0.13,0.17,0.1,0.14,0.11,0.27
f_1,0.54,0.16,0.54,0.64,0.76,0.71,0.14,0.14,0.13,0.18,0.14,0.23,0.07,0.15,0.12,0.13
d_1,0.72,0.68,0.16,0.79,0.62,0.58,0.16,0.26,0.12,0.13,0.13,0.12,0.09,0.13,0.05,0.11
c_1,0.53,0.71,0.71,0.15,0.65,0.56,0.2,0.08,0.23,0.19,0.14,0.13,0.1,0.14,0.1,0.12
b_1,0.69,0.73,0.83,0.35,0.14,0.67,0.2,0.13,0.17,0.24,0.26,0.12,0.11,0.16,0.1,0.14
a_1,0.74,0.82,0.66,0.65,0.32,0.09,0.21,0.16,0.14,0.25,0.22,0.12,0.11,0.27,0.13,0.12
h_1,0.58,0.54,0.47,0.62,0.52,0.42,0.06,0.12,0.1,0.15,0.1,0.09,0.12,0.09,0.08,0.08
d_0,0.29,0.51,1.13,0.52,0.52,0.51,0.15,0.07,0.12,0.15,0.12,0.12,0.08,0.1,0.09,0.11
c_0,0.56,0.52,0.31,0.92,0.56,0.52,0.14,0.16,0.06,0.15,0.1,0.13,0.07,0.12,0.08,0.1
g_1,0.52,0.48,0.63,0.6,0.6,0.5,0.1,0.1,0.1,0.05,0.1,0.11,0.06,0.09,0.11,0.09
b_0,0.52,0.49,0.42,0.82,0.79,0.45,0.16,0.12,0.05,0.14,0.05,0.09,0.09,0.11,0.07,0.1
f_0,0.54,0.85,0.49,0.51,0.57,0.44,0.17,0.11,0.1,0.08,0.1,0.05,0.07,0.1,0.05,0.09
h_0,0.47,0.5,0.55,0.51,0.57,0.41,0.28,0.11,0.12,0.17,0.09,0.1,0.1,0.09,0.08,0.09
a_0,0.63,0.52,0.5,0.65,0.6,0.61,0.13,0.14,0.09,0.15,0.05,0.1,0.07,0.04,0.08,0.08
g_0,0.52,0.57,0.46,0.52,0.52,0.55,0.11,0.13,0.11,0.21,0.11,0.1,0.06,0.09,0.11,0.09
e_0,0.9,0.68,0.49,0.43,0.51,0.47,0.15,0.1,0.1,0.12,0.11,0.05,0.09,0.11,0.08,0.04
