,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,99.46,90.61,125.7,107.59,125.2,381.46,14388.9,23470.5,26829.38,27157.55,56934.11,49653.62,135348.96,156198.61,170058.85,260175.18
c_1,60.91,124.4,78.92,160.52,125.32,362.85,12638.96,18198.28,17866.85,24834.08,35817.67,60800.31,104423.06,151108.84,196223.13,233105.96
e_1,60.62,94.63,131.48,107.47,96.22,329.55,15137.52,31751.78,24149.29,23265.14,52387.06,65421.49,120025.06,155073.26,149000.68,245997.09
b_1,59.54,64.95,74.59,154.91,109.53,553.39,13478.15,17389.72,22979.47,23023.85,40636.96,58311.06,90906.2,131110.23,193051.61,212992.2
d_1,53.7,61.39,83.29,90.3,165.94,349.95,12569.39,16781.19,33889.86,19169.54,56968.39,67748.89,126399.98,135850.0,186954.33,212623.24
a_1,40.46,49.58,57.79,53.76,71.66,434.25,9389.27,13383.86,15582.85,15503.14,32735.32,42413.19,61736.94,94974.12,129215.36,162330.81
h_1,16.74,21.23,19.83,23.75,27.12,80.08,4356.11,4772.84,5639.33,7016.91,11726.34,14560.95,26291.91,34415.77,41547.47,63580.04
d_0,13.71,25.11,14.92,27.01,19.97,61.16,2897.12,5288.14,4190.94,4924.08,8726.64,13228.31,23240.68,33934.44,47394.19,49812.35
c_0,12.83,15.86,18.02,18.45,21.72,73.5,3060.7,4712.31,6405.08,4515.74,15812.43,14112.36,34216.49,34248.69,44167.84,46850.4
g_1,11.59,15.5,16.49,19.31,30.78,61.18,2176.7,3832.05,5432.93,6736.11,9892.63,16091.93,24542.23,28432.59,39794.27,42326.54
b_0,10.98,15.42,13.09,14.62,17.84,50.96,2389.1,3765.06,3832.87,3930.51,10525.84,10580.15,33688.93,25636.01,32749.67,39174.82
f_0,9.83,13.05,11.65,15.78,16.3,57.48,2123.9,3269.86,3937.72,3154.31,8060.76,12379.64,18966.92,24567.71,46464.98,31887.18
a_0,8.36,10.95,10.7,14.18,12.36,39.93,1843.99,2839.98,2560.95,3194.92,5767.87,7712.92,20317.35,20449.23,25050.21,26241.17
h_0,8.9,9.74,9.27,13.04,14.35,41.6,1342.31,2435.84,2612.33,3223.89,6170.47,6915.08,14924.41,16536.85,23215.02,31472.37
e_0,7.78,8.7,8.47,10.68,12.26,37.07,1605.07,1974.06,2523.07,2311.99,5522.38,5470.16,12680.35,16991.32,28724.05,24918.13
g_0,5.89,8.12,7.34,10.59,15.0,39.94,1422.86,2073.6,2795.69,2223.22,5680.03,8713.88,12549.39,15905.93,25218.48,22845.96
