,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.94,0.28,0.28,0.26,0.24,0.17,0.2,0.18,0.17,0.31,0.17,0.17,0.13,0.15,0.07,0.12
f_1,0.43,0.94,0.3,0.27,0.25,0.18,0.18,0.16,0.17,0.16,0.16,0.05,0.13,0.13,0.08,0.11
d_1,0.29,0.34,0.94,0.2,0.24,0.19,0.23,0.18,0.28,0.08,0.18,0.17,0.13,0.15,0.12,0.13
c_1,0.34,0.27,0.34,0.93,0.42,0.17,0.2,0.17,0.05,0.17,0.18,0.16,0.11,0.16,0.13,0.15
b_1,0.34,0.31,0.36,0.21,0.93,0.35,0.22,0.2,0.19,0.17,0.07,0.17,0.11,0.19,0.13,0.14
a_1,0.36,0.38,0.3,0.35,0.22,0.93,0.26,0.21,0.26,0.21,0.21,0.19,0.1,0.21,0.11,0.18
h_1,0.52,0.75,0.55,0.49,0.36,0.31,0.73,0.41,0.32,0.3,0.29,0.29,0.27,0.15,0.21,0.22
g_1,0.56,0.57,0.73,0.55,0.38,0.3,0.34,0.72,0.36,0.32,0.27,0.4,0.22,0.27,0.28,0.15
c_0,0.65,0.65,0.56,0.5,0.5,0.26,0.46,0.41,0.62,0.39,0.54,0.38,0.26,0.33,0.29,0.29
d_0,0.51,0.59,0.32,1.01,0.51,0.34,0.41,0.41,0.3,0.61,0.36,0.35,0.27,0.35,0.26,0.29
b_0,0.61,0.71,0.6,0.62,0.31,0.3,0.51,0.42,0.3,0.34,0.61,0.3,0.59,0.4,0.31,0.32
f_0,0.57,0.37,0.71,0.63,0.49,0.39,0.47,0.36,0.42,0.39,0.49,0.6,0.36,0.43,0.55,0.3
a_0,0.69,0.77,0.79,0.65,0.47,0.22,0.5,0.47,0.43,0.32,0.31,0.39,0.6,0.38,0.29,0.27
h_0,0.59,0.94,0.74,0.59,0.53,0.34,0.33,0.5,0.41,0.42,0.33,0.26,0.33,0.22,0.29,0.36
e_0,0.5,1.09,0.67,0.59,0.59,0.51,0.55,0.37,0.4,0.43,0.35,0.23,0.32,0.42,0.61,0.35
g_0,0.61,0.78,0.89,0.61,0.6,0.33,0.54,0.35,0.48,0.35,0.45,0.46,0.38,0.37,0.28,
