,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.67,0.93,1.26,1.56,1.65,1.21,0.61,0.63,0.66,0.48,0.55,0.67,0.43,0.4,0.94,0.43
f_1,1.5,0.66,1.4,1.38,1.27,1.12,0.45,0.51,0.7,0.46,0.41,0.74,0.53,0.31,0.44,0.43
d_1,1.74,1.43,0.65,1.42,1.19,1.49,0.69,0.83,0.47,0.56,0.59,0.42,0.51,0.42,0.45,0.3
c_1,1.23,1.58,1.73,0.64,1.61,1.18,0.75,0.34,0.59,0.65,0.48,0.46,0.46,0.46,0.48,0.44
b_1,1.45,1.78,1.75,0.99,0.62,1.69,0.73,0.62,0.77,0.72,0.83,0.59,0.55,0.51,0.53,0.38
a_1,1.86,2.3,1.85,1.71,1.08,0.57,0.91,0.66,0.98,0.73,0.79,0.66,0.95,0.57,0.51,0.62
h_1,2.27,2.53,2.05,2.06,2.11,1.69,0.58,0.82,0.9,0.7,0.68,0.66,0.67,0.86,0.63,0.66
d_0,1.41,2.51,3.45,2.92,2.49,2.65,1.17,0.63,1.12,0.76,0.82,0.76,0.92,0.77,0.83,0.78
g_1,2.25,2.27,2.47,2.84,2.3,1.97,1.04,0.82,0.54,0.88,0.72,0.92,0.92,0.54,0.78,0.97
c_0,2.62,2.55,1.56,4.26,2.42,2.16,1.29,1.14,0.98,0.62,1.14,0.85,0.95,0.69,0.75,0.89
b_0,2.21,2.96,2.21,3.15,3.91,2.05,1.25,0.83,1.1,0.54,0.61,0.87,1.21,0.83,0.75,0.7
f_0,2.13,4.82,2.64,2.82,2.55,2.29,1.29,0.99,0.78,0.93,0.92,0.6,0.98,0.75,1.16,0.55
a_0,3.12,2.67,2.38,3.07,3.6,3.86,1.28,1.11,1.12,0.9,0.56,0.92,0.57,0.83,0.95,0.78
h_0,2.91,3.06,2.66,2.7,2.75,2.5,1.6,0.99,1.19,0.98,0.94,0.91,0.97,1.08,0.8,0.89
e_0,3.84,3.86,2.35,3.22,2.48,3.01,1.39,1.28,1.19,1.13,1.22,0.59,1.01,0.95,0.58,0.87
g_0,2.91,3.53,3.01,2.59,3.39,3.0,1.1,1.17,1.47,1.03,1.08,0.99,1.23,0.67,0.97,1.14
