,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.91,0.59,0.27,0.31,0.23,0.15,0.29,0.21,0.31,0.22,0.22,0.13,0.23,0.15,0.09,0.2
e_1,0.39,0.91,0.24,0.4,0.23,0.16,0.3,0.21,0.49,0.2,0.26,0.23,0.28,0.2,0.12,0.21
d_1,0.38,0.28,0.91,0.21,0.24,0.21,0.28,0.26,0.18,0.5,0.3,0.25,0.31,0.19,0.2,0.23
c_1,0.28,0.3,0.27,0.91,0.53,0.17,0.29,0.21,0.29,0.13,0.14,0.21,0.27,0.15,0.16,0.22
b_1,0.36,0.26,0.35,0.27,0.89,0.35,0.29,0.25,0.23,0.25,0.15,0.2,0.31,0.18,0.18,0.21
a_1,0.36,0.33,0.35,0.33,0.26,0.88,0.28,0.27,0.29,0.25,0.23,0.17,0.31,0.13,0.13,0.2
h_1,0.54,0.41,0.35,0.3,0.27,0.15,0.61,0.31,0.33,0.22,0.26,0.2,0.26,0.2,0.19,0.32
g_1,0.34,0.29,0.54,0.34,0.29,0.19,0.27,0.59,0.26,0.3,0.27,0.38,0.34,0.19,0.25,0.19
d_0,0.38,0.37,0.19,0.61,0.31,0.16,0.31,0.28,0.51,0.19,0.22,0.25,0.29,0.18,0.2,0.22
c_0,0.42,0.36,0.39,0.25,0.21,0.18,0.32,0.32,0.31,0.52,0.54,0.26,0.37,0.26,0.24,0.25
b_0,0.4,0.36,0.36,0.33,0.23,0.14,0.36,0.28,0.35,0.29,0.53,0.28,0.39,0.44,0.21,0.28
f_0,0.27,0.29,0.42,0.31,0.28,0.25,0.37,0.28,0.34,0.35,0.29,0.51,0.39,0.27,0.47,0.29
h_0,0.44,0.33,0.41,0.37,0.26,0.19,0.27,0.35,0.32,0.26,0.26,0.26,0.2,0.23,0.23,0.33
a_0,0.39,0.31,0.44,0.34,0.29,0.11,0.37,0.34,0.3,0.29,0.29,0.3,0.37,0.44,0.22,0.23
e_0,0.41,0.27,0.41,0.38,0.28,0.21,0.38,0.25,0.33,0.23,0.29,0.25,0.35,0.22,0.43,0.25
g_0,0.36,0.36,0.54,0.32,0.23,0.18,0.33,0.28,0.27,0.31,0.26,0.39,0.31,0.22,0.24,0.16
