,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.41,0.6,0.62,0.55,0.58,0.52,0.27,0.27,0.31,0.24,0.24,0.29,0.19,0.24,0.25,0.25
e_1,0.45,0.41,0.65,0.55,0.62,0.6,0.33,0.34,0.39,0.27,0.26,0.36,0.24,0.33,0.27,0.26
c_1,0.57,0.51,0.39,0.75,0.66,0.56,0.32,0.19,0.32,0.27,0.25,0.25,0.2,0.24,0.24,0.22
d_1,0.65,0.68,0.53,0.37,0.55,0.51,0.32,0.33,0.22,0.3,0.3,0.25,0.23,0.26,0.31,0.17
b_1,0.63,0.61,0.42,0.66,0.36,0.7,0.32,0.27,0.29,0.37,0.3,0.27,0.22,0.24,0.24,0.22
a_1,0.66,0.65,0.54,0.68,0.36,0.31,0.35,0.32,0.34,0.29,0.37,0.26,0.27,0.26,0.31,0.24
h_1,0.58,0.55,0.59,0.52,0.6,0.49,0.23,0.25,0.32,0.24,0.24,0.26,0.23,0.24,0.25,0.21
d_0,0.54,0.4,0.72,0.71,0.64,0.51,0.34,0.23,0.37,0.25,0.25,0.24,0.23,0.32,0.25,0.23
g_1,0.58,0.49,0.58,0.64,0.62,0.51,0.26,0.24,0.21,0.25,0.25,0.27,0.18,0.27,0.21,0.21
c_0,0.65,0.59,0.77,0.39,0.53,0.59,0.31,0.35,0.29,0.22,0.33,0.28,0.23,0.25,0.29,0.21
b_0,0.59,0.54,0.73,0.47,0.66,0.46,0.32,0.29,0.32,0.16,0.21,0.25,0.2,0.25,0.29,0.21
f_0,0.66,0.5,0.64,0.58,0.54,0.52,0.29,0.28,0.24,0.24,0.25,0.2,0.21,0.28,0.23,0.15
h_0,0.61,0.54,0.64,0.55,0.55,0.45,0.36,0.25,0.32,0.25,0.25,0.24,0.25,0.24,0.22,0.23
e_0,0.66,0.59,0.61,0.54,0.57,0.5,0.29,0.24,0.27,0.26,0.25,0.17,0.2,0.18,0.25,0.18
a_0,0.57,0.55,0.63,0.53,0.69,0.59,0.33,0.25,0.32,0.21,0.17,0.27,0.24,0.25,0.18,0.21
g_0,0.62,0.56,0.6,0.59,0.53,0.46,0.27,0.28,0.33,0.27,0.25,0.26,0.18,0.23,0.25,0.22
