,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.67,3.78,5.9,6.03,5.97,6.79,2.13,2.34,2.26,2.66,2.05,1.91,1.68,1.56,,1.68
f_1,6.33,0.67,5.13,6.0,5.08,4.7,1.87,2.25,2.23,2.65,2.0,,1.39,1.86,1.83,1.74
c_1,6.53,6.47,0.66,6.95,7.09,4.48,2.56,1.2,,2.83,1.8,1.98,1.86,2.16,2.17,1.61
d_1,7.9,5.78,5.79,0.65,5.87,4.78,2.49,,2.26,1.85,1.97,3.08,1.55,2.42,2.54,0.93
b_1,6.54,6.64,3.84,5.74,0.62,8.82,2.9,2.57,2.77,3.0,,2.24,1.48,,2.54,1.81
a_1,7.05,6.67,7.2,9.11,3.44,0.58,3.05,2.89,2.47,3.25,3.29,2.86,2.49,,,2.26
h_1,5.89,6.46,5.46,4.8,4.93,4.67,0.6,1.95,1.84,1.97,1.81,1.34,,1.53,1.78,1.41
d_0,3.13,4.62,5.75,,5.04,3.85,1.96,0.73,1.54,1.93,1.56,1.71,1.29,1.89,1.45,1.55
c_0,4.42,4.51,,3.22,5.38,3.68,2.26,1.82,0.71,2.39,2.39,1.69,1.38,1.37,1.43,1.7
g_1,6.15,6.05,5.13,5.44,5.05,5.84,2.37,2.39,2.17,0.57,1.94,2.46,1.22,2.21,1.39,
b_0,4.48,5.0,7.6,5.03,,6.05,2.79,1.72,1.05,2.73,0.68,1.52,1.49,1.77,1.7,1.44
f_0,5.1,,4.75,4.39,5.07,4.97,2.84,1.98,1.76,1.32,2.85,0.67,1.86,1.71,1.78,1.4
h_0,5.22,4.94,4.01,4.68,4.59,4.61,,1.46,1.73,2.48,1.59,1.72,,1.51,1.46,1.21
a_0,6.23,6.53,5.77,5.0,,,2.39,1.98,2.9,2.16,1.55,1.98,1.82,0.62,1.77,
e_0,,6.39,5.98,5.41,5.04,,2.27,2.48,2.35,2.79,2.22,1.49,1.73,2.18,0.62,1.63
g_0,4.88,5.48,5.12,6.56,4.33,4.85,2.09,2.14,1.66,,1.61,1.67,1.18,,1.68,
