,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.19,1.21,1.81,4.38,20.23,28.17,41.66,27.95,50.17,46.05,65.11,94.95,,128.01
f_1,1.21,1.0,1.2,1.21,1.83,3.59,17.77,34.12,29.15,39.27,,40.51,60.19,81.18,82.77,167.03
d_1,0.84,0.84,1.0,1.07,1.75,2.56,18.92,20.89,,39.59,29.77,46.63,67.54,102.83,78.31,86.42
c_1,0.82,0.83,0.93,1.0,2.36,2.03,15.35,25.16,15.85,,35.59,36.27,51.35,54.78,77.42,89.48
b_1,0.55,0.55,0.57,0.42,1.0,2.99,11.87,17.51,15.55,21.68,25.72,,46.18,56.59,51.16,76.39
a_1,0.23,0.28,0.39,0.49,0.33,1.0,6.8,,9.18,11.07,13.94,,20.52,,,31.64
h_1,0.05,0.06,0.05,0.07,0.08,0.15,1.0,1.58,1.26,1.32,2.03,1.98,,4.65,4.29,5.55
g_1,0.04,0.03,0.05,0.04,0.06,,0.63,1.0,1.37,1.37,1.87,1.65,2.16,5.25,4.56,
d_0,0.02,0.03,,0.06,0.06,0.11,0.8,0.73,1.0,1.07,1.04,1.39,2.99,2.98,3.06,4.41
c_0,0.04,0.03,0.03,,0.05,0.09,0.76,0.73,0.94,1.0,1.73,1.84,1.91,2.13,2.55,5.02
f_0,0.02,,0.03,0.03,0.04,0.07,0.49,0.54,0.96,0.58,1.0,1.13,1.84,1.75,3.41,2.29
b_0,0.02,0.02,0.02,0.03,,,0.51,0.61,0.72,0.54,0.88,1.0,2.2,2.98,1.78,2.48
h_0,0.02,0.02,0.01,0.02,0.02,0.05,,0.46,0.33,0.52,0.54,0.46,,1.01,1.2,1.6
a_0,0.01,0.01,0.01,0.02,0.02,,0.22,0.19,0.34,0.47,0.57,0.34,0.99,1.0,,
e_0,,0.01,0.01,0.01,0.02,,0.23,0.22,0.33,0.39,0.29,0.56,0.84,,1.0,
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,,0.23,0.2,0.44,0.4,0.62,,,
