,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.54,0.93,1.24,0.86,0.99,0.85,1.15,1.78,1.15,1.14,1.25,1.07,1.33,1.06,1.2,0.96
f_1,1.49,1.55,1.01,0.87,0.87,0.82,1.08,1.26,1.01,1.11,0.96,1.06,1.1,0.93,1.14,0.79
c_1,0.91,1.03,1.58,1.03,1.5,0.88,1.15,1.02,0.99,0.83,1.1,0.86,1.33,0.98,1.26,0.9
d_1,1.05,1.21,0.86,1.59,0.91,0.79,1.2,1.04,1.02,1.73,1.18,1.32,1.32,1.06,1.28,0.97
b_1,0.99,1.07,0.89,1.05,1.62,1.48,1.25,1.17,1.17,1.2,1.21,1.05,1.29,1.01,1.04,1.01
a_1,1.14,1.06,1.09,1.24,0.92,1.74,1.33,1.31,1.31,1.29,1.44,1.32,1.46,0.84,1.25,1.27
h_1,1.22,1.51,1.2,1.36,1.16,0.94,1.87,1.35,1.62,1.35,1.37,1.22,1.42,1.15,1.57,1.12
d_0,1.11,1.21,2.0,1.1,1.34,0.98,1.55,1.8,1.33,1.03,1.38,1.18,1.69,1.31,1.45,1.28
g_1,1.19,1.26,1.34,1.64,1.2,0.93,1.41,1.5,1.94,1.54,1.84,1.37,1.45,1.14,1.42,1.25
c_0,1.43,1.47,1.27,1.25,1.03,0.98,1.65,1.91,1.4,1.86,1.58,2.16,1.65,1.62,1.53,1.33
f_0,1.23,1.34,1.46,1.39,1.3,0.89,1.63,1.56,1.36,1.52,1.88,1.56,1.88,1.39,1.53,2.12
b_0,1.36,1.54,1.52,1.22,1.09,0.93,1.68,1.83,1.46,1.43,1.41,1.96,1.66,2.19,1.46,1.39
h_0,1.43,1.72,1.25,1.49,1.29,1.05,1.45,1.53,1.72,1.58,1.41,1.54,1.53,1.4,1.82,1.35
a_0,1.4,1.55,1.49,1.29,1.26,1.13,1.88,1.78,1.61,1.5,1.63,1.4,1.73,1.94,1.55,1.51
g_0,1.33,1.39,1.22,1.7,1.38,1.11,1.75,1.57,1.39,1.81,2.06,1.62,1.51,1.39,1.53,1.53
e_0,1.3,1.55,1.65,1.65,1.28,0.96,1.74,1.69,1.62,1.61,1.29,1.45,1.84,1.49,1.76,1.95
