,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,0.97,0.85,1.06,0.75,0.5,0.49,0.64,0.37,0.39,0.34,0.32,0.37,0.44,0.32
f_1,1.27,1.0,1.01,0.92,0.89,0.59,0.4,0.46,0.39,0.33,0.37,0.37,0.32,0.27,0.24,0.28
c_1,1.03,0.99,1.0,1.03,1.21,0.67,0.54,0.44,0.3,0.34,0.4,0.35,0.37,0.38,0.32,0.28
d_1,1.17,1.09,0.97,1.0,0.89,0.77,0.55,0.39,0.46,0.54,0.44,0.43,0.41,0.34,0.31,0.26
b_1,0.94,1.13,0.83,1.14,1.0,1.04,0.58,0.5,0.52,0.47,0.42,0.56,0.33,0.39,0.34,0.43
a_1,1.34,1.69,1.49,1.31,0.96,1.0,0.79,0.63,0.64,0.61,0.5,0.6,0.41,0.53,0.52,0.39
h_1,2.06,2.41,1.8,1.9,1.77,1.25,1.0,1.08,0.86,0.68,0.66,0.74,0.63,0.68,0.59,0.66
g_1,2.2,2.15,2.26,2.56,2.03,1.6,0.93,1.0,0.9,0.83,1.03,0.76,0.67,0.7,0.71,0.67
d_0,1.58,2.53,3.16,2.21,1.89,1.45,1.16,1.13,1.0,0.73,0.83,0.88,0.78,0.7,0.65,0.84
c_0,2.93,3.15,2.56,1.77,2.18,1.62,1.47,1.19,1.27,1.0,0.96,1.34,0.88,0.87,0.75,0.88
f_0,2.44,2.97,2.81,2.35,2.25,1.79,1.46,0.95,1.19,0.93,1.0,1.1,0.91,0.97,1.25,0.62
b_0,2.86,2.68,2.83,2.44,1.8,1.48,1.31,1.36,1.13,0.73,0.93,1.0,1.23,0.87,0.82,0.78
a_0,3.2,3.0,2.95,2.37,3.0,2.3,1.56,1.49,1.27,1.03,1.11,0.8,1.0,0.9,1.05,0.81
h_0,2.82,3.68,2.74,2.74,2.63,1.91,1.42,1.52,1.43,1.18,0.98,1.08,1.1,1.0,0.89,1.02
e_0,2.69,4.49,2.83,3.17,2.85,2.14,1.66,1.33,1.45,1.29,0.81,1.21,0.9,1.23,1.01,0.86
g_0,3.09,3.42,3.5,3.78,2.44,2.33,1.47,1.58,1.29,1.17,1.62,1.3,1.17,0.93,1.2,1.0
