,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.23,0.37,0.37,0.4,0.32,0.11,0.08,0.11,0.08,0.07,0.1,0.05,0.08,0.1,0.06
f_1,0.33,0.16,0.35,0.37,0.32,0.33,0.08,0.07,0.11,0.07,0.07,0.1,0.04,0.06,0.06,0.05
d_1,0.36,0.42,0.15,0.36,0.33,0.32,0.09,0.08,0.06,0.1,0.06,0.07,0.05,0.07,0.07,0.04
c_1,0.28,0.36,0.45,0.13,0.32,0.33,0.11,0.1,0.12,0.04,0.08,0.07,0.05,0.07,0.07,0.05
b_1,0.37,0.39,0.39,0.2,0.12,0.34,0.1,0.09,0.09,0.07,0.09,0.07,0.05,0.07,0.07,0.06
a_1,0.39,0.37,0.36,0.33,0.18,0.1,0.11,0.09,0.1,0.08,0.12,0.08,0.06,0.14,0.07,0.06
h_1,0.32,0.34,0.32,0.35,0.31,0.25,0.05,0.06,0.1,0.07,0.06,0.07,0.07,0.06,0.06,0.05
c_0,0.35,0.38,0.21,0.46,0.35,0.3,0.1,0.05,0.08,0.08,0.07,0.06,0.05,0.06,0.06,0.04
g_1,0.35,0.37,0.32,0.32,0.31,0.25,0.08,0.06,0.04,0.06,0.06,0.06,0.04,0.07,0.06,0.06
d_0,0.23,0.32,0.41,0.35,0.36,0.32,0.1,0.07,0.11,0.05,0.07,0.06,0.05,0.07,0.07,0.05
b_0,0.34,0.32,0.28,0.37,0.42,0.3,0.1,0.04,0.09,0.06,0.05,0.06,0.04,0.08,0.06,0.04
f_0,0.31,0.45,0.31,0.32,0.31,0.24,0.08,0.06,0.07,0.07,0.06,0.04,0.05,0.07,0.06,0.03
h_0,0.32,0.32,0.29,0.32,0.3,0.28,0.12,0.06,0.1,0.07,0.07,0.07,0.06,0.06,0.06,0.05
a_0,0.33,0.37,0.27,0.38,0.39,0.37,0.09,0.06,0.08,0.06,0.04,0.06,0.04,0.04,0.06,0.04
e_0,0.37,0.46,0.29,0.34,0.31,0.24,0.08,0.06,0.09,0.06,0.07,0.04,0.05,0.06,0.03,0.04
g_0,0.31,0.35,0.29,0.33,0.31,0.31,0.07,0.06,0.12,0.06,0.07,0.07,0.04,0.07,0.06,0.06
