,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,1.25,1.0,0.92,0.81,1.06,1.37,1.1,0.96,1.04,1.15,1.03,1.0,1.25,1.13
f_1,1.19,1.0,1.02,0.93,0.96,0.97,0.82,0.95,1.04,0.91,0.99,0.95,0.82,0.84,0.79,1.01
c_1,0.81,0.98,1.0,1.15,1.39,0.9,1.07,0.75,1.01,0.87,0.85,0.98,1.0,1.02,0.9,1.05
d_1,1.0,1.07,0.87,1.0,1.04,0.98,1.02,1.1,0.87,1.26,1.01,0.96,1.03,1.02,0.99,0.8
b_1,1.07,1.04,0.73,0.95,1.0,1.47,1.01,0.97,1.03,1.07,1.0,0.96,1.08,1.06,1.05,0.9
a_1,1.22,1.04,1.11,1.02,0.68,1.0,1.12,0.97,1.09,1.06,1.15,0.99,1.25,1.14,0.91,1.13
h_1,0.94,1.22,0.94,0.98,0.95,0.91,1.0,0.92,1.18,0.92,0.92,1.03,0.9,0.96,0.85,1.22
d_0,0.75,1.0,1.32,0.95,1.05,1.04,1.13,1.0,0.98,0.83,0.95,0.96,1.0,0.91,1.15,1.12
g_1,0.92,0.99,1.04,1.14,0.92,0.94,0.83,1.02,1.0,0.95,1.03,1.25,0.89,0.94,1.15,1.12
c_0,1.03,1.07,1.21,0.79,0.93,0.9,1.09,1.17,0.99,1.0,1.51,0.97,1.12,0.98,1.25,1.07
b_0,0.97,1.02,1.25,0.98,0.87,0.84,1.1,1.03,0.98,0.67,1.0,0.97,1.03,1.49,1.21,1.04
f_0,0.82,1.09,0.99,0.96,1.08,1.04,1.05,1.07,0.79,1.02,1.08,1.0,1.01,0.93,1.52,0.94
h_0,0.97,1.25,0.96,1.0,0.88,0.8,1.09,0.98,1.11,0.91,1.02,1.01,1.0,0.93,0.96,1.15
a_0,0.99,1.17,1.03,0.98,0.99,0.98,1.0,1.07,1.0,1.08,0.73,0.99,1.03,1.0,1.0,0.88
e_0,0.87,1.36,1.04,0.99,0.92,1.07,1.22,0.84,0.89,0.83,0.81,0.67,1.07,0.94,1.0,1.06
g_0,0.94,0.98,0.91,1.27,1.05,0.88,0.83,0.89,0.9,0.92,0.99,1.12,0.84,1.06,1.0,1.0
