,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.24,0.9,0.97,0.89,0.74,0.57,0.68,0.65,0.61,0.61,0.55,0.51,0.57,0.59,0.46
e_1,0.8,1.0,0.94,1.14,1.01,0.81,0.71,0.95,0.68,0.6,0.67,0.75,0.63,0.55,0.67,0.64
d_1,1.12,1.07,1.0,0.9,0.96,0.77,0.66,0.75,0.56,0.86,0.61,0.62,0.57,0.56,0.47,0.58
c_1,1.02,0.87,1.14,1.0,1.29,0.8,0.67,0.45,0.7,0.56,0.52,0.65,0.61,0.58,0.51,0.52
b_1,1.15,1.0,1.03,0.78,1.0,1.42,0.82,0.65,0.7,0.74,0.67,0.62,0.58,0.51,0.61,0.58
a_1,1.37,1.22,1.25,1.22,0.71,1.0,1.11,0.74,0.92,0.73,0.96,0.7,0.81,0.77,0.64,0.64
h_1,1.67,1.42,1.49,1.53,1.22,0.91,1.0,0.78,1.11,0.89,0.92,0.82,0.84,0.72,0.88,0.79
d_0,1.47,1.04,1.35,2.25,1.53,1.35,1.23,1.0,0.99,0.8,1.02,0.95,0.87,0.78,0.97,0.89
g_1,1.54,1.44,1.74,1.45,1.43,1.13,0.9,0.98,1.0,1.04,1.04,1.14,0.84,0.88,0.86,0.81
c_0,1.62,1.59,1.21,1.69,1.28,1.41,1.17,1.12,0.99,1.0,1.44,1.01,0.99,1.02,0.88,0.94
b_0,1.67,1.58,1.54,1.84,1.45,1.11,1.12,1.06,0.98,0.76,1.0,0.89,0.98,1.25,0.84,0.88
f_0,1.74,1.29,1.68,1.62,1.54,1.33,1.21,1.03,0.88,0.96,1.12,1.0,1.03,1.08,0.73,1.23
h_0,1.97,1.61,1.77,1.62,1.64,1.22,1.21,1.08,1.2,1.03,1.0,0.95,1.0,0.99,1.03,0.8
a_0,1.77,1.81,1.85,1.78,1.93,1.3,1.45,1.29,1.19,0.96,0.84,1.09,0.96,1.0,1.06,0.99
g_0,1.69,1.53,2.16,1.92,1.73,1.49,1.16,1.07,1.18,1.12,1.14,1.38,0.92,0.95,1.0,0.96
e_0,2.23,1.54,1.64,1.94,1.76,1.58,1.26,1.14,1.26,1.09,1.23,0.81,1.23,1.02,0.99,1.0
