,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,5.7,1.51,1.25,0.95,1.11,1.35,5.12,4.3,10.65,2.66,7.79,7.42,7.4,10.81,5.82,11.89
f_1,1.31,5.85,2.26,1.12,1.29,0.88,4.43,4.11,5.71,6.55,6.38,2.63,7.2,8.56,4.15,8.06
e_1,1.16,1.28,6.49,1.72,1.2,1.14,4.31,4.33,6.36,12.77,7.22,6.54,6.88,9.21,3.3,8.82
c_1,1.21,1.31,1.11,6.74,2.32,1.52,4.5,5.03,1.82,5.85,3.75,6.53,5.57,8.76,6.43,7.54
b_1,1.36,1.33,1.09,1.33,7.87,2.64,4.34,4.83,5.56,6.62,1.65,5.22,4.5,7.4,5.83,7.57
a_1,1.1,1.17,1.08,1.64,1.67,10.75,5.5,4.18,5.03,6.19,6.31,7.03,1.25,9.6,9.43,11.01
h_1,1.86,2.24,1.37,1.37,1.24,1.04,15.75,7.4,7.31,6.66,8.91,7.24,6.59,6.96,8.82,14.42
g_1,2.36,1.32,1.32,1.42,1.23,1.45,5.82,19.25,5.83,6.41,8.98,12.05,8.01,13.2,10.56,7.02
c_0,2.0,1.62,1.99,1.06,1.14,1.34,5.75,5.78,15.8,7.18,15.47,7.93,9.74,10.64,8.81,12.83
d_0,0.97,1.58,1.59,3.36,1.61,1.36,5.22,5.85,4.23,14.7,6.64,6.41,7.93,11.58,7.03,8.79
b_0,1.91,1.81,1.38,2.07,0.7,0.94,6.24,6.56,7.24,7.76,16.86,7.74,14.26,10.87,8.55,11.42
f_0,1.96,0.72,1.43,1.67,1.66,1.56,6.86,7.1,9.11,7.23,8.21,19.59,8.13,11.41,22.28,14.26
a_0,1.57,1.63,1.62,2.13,1.47,0.82,5.88,6.25,7.32,7.49,8.69,7.28,21.76,13.92,8.13,10.58
h_0,1.78,2.3,1.55,1.8,1.27,1.44,3.07,8.12,7.21,7.25,7.68,7.68,8.52,6.85,6.52,13.17
e_0,1.72,1.44,0.97,1.94,2.07,1.83,5.7,5.56,7.54,7.55,7.78,7.18,7.08,14.32,25.34,10.41
g_0,2.82,1.51,1.46,1.52,1.4,1.19,6.06,3.85,8.01,6.38,7.92,11.62,7.58,12.34,10.41,7.99
