,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.94,0.26,0.27,0.28,0.25,0.16,0.19,0.16,0.32,0.18,0.16,0.18,0.15,0.12,0.17,0.06
f_1,0.5,0.94,0.26,0.25,0.21,0.19,0.16,0.14,0.18,0.17,0.18,0.06,0.14,0.12,0.12,0.11
d_1,0.32,0.34,0.94,0.27,0.2,0.21,0.22,0.16,0.08,0.31,0.16,0.16,0.18,0.13,0.13,0.1
c_1,0.3,0.29,0.27,0.94,0.44,0.15,0.22,0.17,0.18,0.08,0.12,0.18,0.18,0.11,0.12,0.12
b_1,0.32,0.38,0.34,0.22,0.93,0.3,0.21,0.22,0.15,0.2,0.08,0.19,0.16,0.12,0.11,0.12
a_1,0.35,0.33,0.34,0.36,0.25,0.93,0.27,0.2,0.22,0.2,0.19,0.23,0.22,,0.15,0.12
h_1,0.5,0.87,0.5,0.49,0.4,0.25,0.73,0.39,0.38,0.31,0.33,0.29,0.23,0.23,0.27,0.2
g_1,0.57,0.6,0.76,0.57,0.38,0.35,0.35,0.72,0.31,0.25,0.32,0.41,0.31,0.25,0.2,0.2
d_0,0.43,0.64,0.34,0.94,0.57,0.35,0.35,0.34,0.61,0.33,0.35,0.28,0.36,0.27,0.29,0.21
c_0,0.67,0.74,0.51,0.4,0.42,0.34,0.4,0.39,0.43,0.62,0.62,0.27,0.41,0.27,0.32,0.26
b_0,0.63,0.69,0.67,0.8,0.19,0.25,0.45,0.4,0.36,0.28,0.61,0.33,0.34,0.46,0.29,0.24
f_0,0.58,0.38,0.68,0.69,0.51,0.34,0.43,0.38,0.47,0.44,0.39,0.62,0.37,0.29,0.3,0.45
h_0,0.69,0.93,0.64,0.63,0.53,0.34,0.2,0.45,0.32,0.32,0.38,0.35,0.19,0.25,0.46,0.22
a_0,0.71,0.71,0.59,0.86,0.52,,0.48,0.37,0.52,0.46,0.34,0.3,0.43,0.6,0.36,0.23
g_0,0.52,0.89,0.94,0.62,0.56,0.42,0.41,0.32,0.37,0.35,0.47,0.48,0.32,0.31,0.25,0.28
e_0,0.41,0.8,0.77,0.68,0.59,0.48,0.63,0.37,0.59,0.45,0.5,0.34,0.42,0.39,0.39,0.58
