,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.12,3.96,3.91,3.31,4.3,4.1,0.87,0.96,0.91,1.34,0.77,1.45,0.44,0.8,0.72,0.75
e_1,2.4,1.12,5.45,4.16,4.74,5.18,1.32,0.94,0.88,1.4,0.9,1.13,0.72,1.76,0.9,0.72
c_1,5.28,3.66,1.12,6.43,4.98,5.11,1.67,0.56,1.87,1.15,0.93,0.87,0.7,0.92,0.91,0.71
d_1,5.18,5.48,5.85,1.12,5.14,4.57,1.2,2.36,0.93,0.93,1.12,0.89,0.75,0.72,0.88,0.4
b_1,6.52,7.7,2.76,6.09,1.13,5.28,1.66,1.22,1.42,1.81,3.21,1.24,1.01,0.97,1.26,0.9
a_1,9.13,8.42,8.04,10.67,3.56,1.14,2.59,2.1,1.83,2.21,3.05,1.58,1.14,1.88,9.24,1.28
h_1,14.94,17.8,16.87,15.4,15.35,11.65,1.75,3.63,2.89,5.0,2.87,3.22,3.64,2.94,4.02,2.46
d_0,17.72,9.87,18.31,27.66,20.43,15.24,5.55,2.19,3.7,5.96,3.89,3.72,2.48,3.47,2.8,3.39
c_0,22.27,20.33,46.04,10.22,22.36,17.78,5.67,5.25,2.18,6.6,4.13,4.46,2.55,3.95,3.8,2.64
g_1,22.41,20.33,22.7,19.91,22.54,15.71,4.46,4.48,4.25,1.8,4.13,3.69,2.24,4.41,4.75,3.39
b_0,23.96,18.24,38.83,18.39,59.17,20.68,6.06,5.07,2.25,6.14,2.14,4.14,2.9,4.78,4.02,3.03
f_0,44.81,26.96,23.87,23.68,24.07,18.26,6.3,5.14,4.84,4.31,5.13,2.17,3.8,4.0,4.96,1.95
h_0,31.74,26.38,30.99,24.42,30.54,28.55,13.93,6.29,5.57,8.38,5.38,6.28,6.0,6.14,4.75,4.66
e_0,64.56,47.69,29.57,38.12,32.64,31.18,9.57,6.13,7.49,8.38,6.86,3.56,6.09,2.67,6.33,4.52
a_0,36.63,32.63,51.98,34.73,54.62,54.78,10.31,8.02,5.67,11.07,3.25,6.61,5.32,7.02,2.55,4.16
g_0,40.09,44.82,48.1,36.78,36.88,41.37,8.02,8.49,7.23,22.14,8.19,7.49,4.26,6.04,7.6,7.8
