,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.07,3.23,1.87,3.84,3.39,2.97,1.43,1.39,1.01,0.81,1.06,1.12,1.03,1.95,0.97,0.89
d_1,3.7,1.07,3.52,3.06,3.23,2.94,1.3,0.84,1.66,1.03,0.8,0.95,0.75,0.94,0.82,0.45
f_1,4.62,3.19,1.07,3.38,2.94,2.44,0.89,1.49,1.19,0.99,1.79,0.85,0.48,0.8,0.75,0.81
c_1,3.08,4.53,3.76,1.07,4.71,2.76,1.6,1.37,0.68,1.86,1.04,0.97,0.94,0.88,0.98,0.69
b_1,4.17,3.99,4.96,2.26,1.07,4.67,1.54,1.56,1.31,1.6,1.11,3.49,0.95,1.11,0.9,1.14
a_1,5.45,5.27,6.43,5.37,2.92,1.07,2.19,1.79,1.34,1.65,1.71,1.65,1.07,1.35,3.43,1.16
h_1,7.07,7.12,8.63,7.79,6.7,6.32,1.38,3.19,2.3,2.31,2.08,2.0,4.11,2.44,2.41,1.91
g_1,7.28,8.19,8.59,7.68,6.93,7.17,2.32,1.39,2.81,2.31,2.99,2.49,1.39,1.68,2.08,2.52
d_0,5.82,17.85,8.39,9.25,7.23,11.16,3.53,3.46,1.63,2.89,2.32,2.15,1.98,1.99,1.98,1.89
c_0,9.97,5.89,9.61,22.5,7.99,7.17,3.18,3.65,3.33,1.59,3.1,3.03,1.92,2.24,2.08,2.2
f_0,8.22,10.31,25.37,10.28,8.91,8.49,3.71,2.29,3.23,2.56,1.6,2.72,2.54,3.01,2.01,1.62
b_0,10.01,8.06,9.71,11.26,14.05,7.86,3.95,3.72,4.23,2.02,3.02,1.6,1.91,2.12,2.65,2.02
h_0,10.73,11.38,17.39,11.93,10.57,10.2,5.7,5.65,3.68,3.25,2.94,3.54,4.58,2.82,2.65,2.14
e_0,18.15,12.35,18.32,15.34,12.47,9.1,4.05,4.48,3.85,3.84,2.15,3.92,3.0,1.64,3.52,2.09
a_0,11.96,12.02,15.38,15.04,21.33,,5.1,5.8,5.31,3.91,4.37,2.13,3.74,3.03,1.68,2.85
g_0,13.34,18.84,14.43,18.08,13.51,12.85,3.92,8.01,4.19,4.69,3.82,4.23,3.21,3.9,4.0,5.51
