,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.13,11.82,6.79,12.31,12.71,8.82,3.39,2.12,3.79,2.56,1.99,2.47,1.62,2.23,10.5,2.21
d_1,17.31,1.14,11.41,11.39,10.61,11.19,2.98,9.77,1.96,2.05,2.04,2.25,1.3,2.2,2.4,1.07
f_1,12.03,10.6,1.14,12.03,10.49,11.39,2.33,2.37,4.05,1.93,2.48,11.43,1.38,2.31,2.23,1.61
c_1,10.67,15.5,12.64,1.14,15.22,10.18,3.59,1.39,3.17,12.13,2.24,2.65,1.64,2.13,3.13,2.22
b_1,14.56,14.91,14.77,7.26,1.15,17.09,4.27,3.9,4.48,3.27,15.94,3.2,2.8,3.53,3.97,2.09
a_1,27.8,22.5,23.38,22.29,10.18,1.15,5.97,4.35,5.9,5.42,6.89,4.13,2.61,25.67,4.7,2.92
h_1,23.83,26.42,28.21,26.13,24.95,29.91,1.9,4.99,8.43,5.51,4.69,4.55,11.69,5.2,3.8,3.55
d_0,15.75,79.27,31.9,30.65,33.37,44.51,11.32,2.7,10.11,6.88,5.87,6.88,4.99,5.66,4.46,5.24
g_1,33.67,30.87,38.78,37.51,27.98,33.58,7.79,6.73,1.91,6.23,8.21,5.16,3.86,5.27,5.17,11.32
c_0,32.77,16.15,37.1,187.53,35.06,31.9,12.82,9.14,9.83,2.57,7.15,5.71,7.72,6.75,5.67,4.08
b_0,37.07,39.19,35.19,49.81,110.8,45.57,8.9,7.13,12.87,4.45,2.71,6.17,6.82,6.53,5.67,5.16
f_0,33.67,31.42,142.21,46.88,43.28,45.57,12.11,9.9,6.74,6.88,7.15,2.53,7.3,8.95,8.71,4.68
h_0,50.27,51.29,46.75,65.06,54.31,58.0,58.13,10.04,23.6,9.39,8.72,11.67,16.36,7.26,7.44,6.16
a_0,48.29,60.14,50.94,57.96,106.54,,16.77,13.45,20.23,10.76,5.58,10.96,7.44,3.03,8.71,10.64
e_0,99.19,56.26,77.57,66.42,71.03,70.89,14.53,13.71,19.67,12.83,14.31,5.65,8.7,10.69,2.81,8.56
g_0,71.96,49.83,72.62,54.03,71.03,66.0,18.55,15.5,47.2,13.61,15.5,14.92,6.39,15.4,9.39,25.07
