,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.66,6.77,4.37,5.22,5.18,5.19,2.32,2.41,2.07,3.64,2.1,1.82,1.41,1.92,,2.24
d_1,7.7,0.66,5.86,7.17,4.78,6.23,3.03,,2.36,1.71,2.14,1.66,2.19,0.88,2.31,1.63
f_1,6.54,5.74,0.66,6.45,4.97,5.0,2.51,1.84,1.85,2.36,2.25,,1.2,2.67,2.47,2.05
c_1,6.03,5.26,5.5,0.66,7.82,5.37,2.74,1.23,,2.44,2.31,2.66,1.87,1.58,2.32,1.86
b_1,5.92,7.78,7.62,3.8,0.63,,2.6,2.38,2.38,2.59,,1.8,2.2,1.46,1.76,2.41
a_1,9.97,8.83,6.37,7.8,,0.57,3.61,2.49,2.5,,3.27,2.85,2.04,1.75,,
h_1,5.33,4.9,5.39,3.86,5.57,3.68,0.61,2.42,2.7,2.73,1.38,1.58,,1.34,1.65,1.54
d_0,3.27,,5.62,5.49,5.0,4.02,1.73,0.71,1.8,2.03,2.28,1.32,1.34,1.27,1.5,1.62
c_0,5.47,2.96,5.05,,4.73,4.08,1.8,1.94,0.72,1.84,2.02,1.68,1.27,1.95,1.42,1.4
g_1,4.49,6.39,6.33,6.59,4.66,,1.66,2.37,2.65,0.57,2.35,2.89,1.08,,1.66,
b_0,7.15,4.73,4.9,5.95,,4.82,2.3,1.62,1.03,2.04,0.67,1.99,1.68,2.02,1.81,2.01
f_0,5.41,5.62,,4.44,5.75,4.52,2.65,2.48,1.67,1.27,1.72,0.7,1.46,1.09,2.33,1.71
h_0,4.33,3.68,4.76,5.05,3.84,4.86,,1.7,1.73,2.6,1.82,1.69,,1.63,1.2,0.99
g_0,3.75,6.7,4.38,5.58,6.37,5.51,1.97,1.94,1.54,,1.53,1.96,1.11,,1.43,1.72
e_0,,5.27,5.43,4.54,7.83,,2.8,3.4,2.22,2.71,1.88,1.37,2.17,1.69,0.61,
a_0,7.31,6.31,5.0,6.63,6.5,,2.9,1.87,2.84,,1.3,2.53,2.25,1.95,,0.63
