,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.14,6.25,10.55,14.01,11.97,10.56,3.23,4.41,2.37,2.29,2.03,2.12,1.63,2.18,8.41,1.56
f_1,11.92,1.14,11.11,11.48,9.72,10.39,2.07,3.97,2.41,2.07,2.4,8.29,1.1,1.98,2.35,1.87
d_1,13.24,11.87,1.14,14.08,12.7,12.99,3.27,1.92,11.67,2.22,2.51,2.07,1.6,2.38,2.22,1.2
c_1,10.15,12.77,18.93,1.14,12.12,12.82,4.14,4.15,1.4,7.94,2.84,2.48,2.05,3.66,3.28,2.14
b_1,14.72,16.22,12.99,6.97,1.15,18.29,4.34,4.03,3.08,4.7,11.25,2.93,2.02,2.95,2.82,1.62
a_1,21.6,21.05,21.1,21.22,12.87,1.15,7.41,6.7,3.83,4.98,4.92,4.0,3.84,17.17,4.07,4.28
h_1,31.31,30.76,29.31,25.25,21.14,24.38,1.9,7.63,7.61,5.51,5.27,5.55,12.09,4.82,4.35,4.67
g_1,34.52,35.37,31.25,35.11,28.67,32.38,6.62,1.88,7.95,6.12,7.13,6.89,3.87,6.17,4.07,11.85
d_0,16.49,39.74,94.63,32.5,40.22,28.21,10.36,10.44,2.62,7.1,6.09,6.36,4.53,11.62,5.23,4.74
c_0,31.57,35.73,16.81,138.86,40.79,32.92,10.77,10.0,9.33,2.54,6.36,8.29,4.43,6.17,6.79,4.6
b_0,33.28,37.23,27.37,41.85,222.77,37.98,13.93,10.92,7.14,3.9,2.58,6.73,6.76,6.48,7.3,6.7
f_0,33.89,117.9,39.9,39.68,34.89,33.47,10.92,6.28,6.86,7.94,7.13,2.75,5.25,7.45,6.34,3.8
h_0,52.03,49.82,48.71,63.65,65.82,47.02,50.5,18.68,11.67,10.93,12.19,12.43,21.0,14.11,9.21,8.11
a_0,52.77,56.14,48.71,47.73,107.26,141.07,16.49,20.29,14.0,8.13,5.13,11.22,7.82,2.71,9.21,9.62
e_0,131.93,76.89,57.1,52.67,41.97,79.0,14.69,15.78,11.86,10.93,12.72,4.77,9.98,10.68,2.67,5.7
g_0,75.39,69.35,87.16,69.43,80.44,58.09,13.69,41.76,21.88,14.5,15.39,12.71,7.25,13.62,11.06,20.53
