,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,3.8,0.35,0.67,0.43,0.41,0.33,0.75,0.53,0.9,0.93,0.72,0.23,0.88,0.76,0.71,0.69
d_1,0.42,3.99,0.33,0.33,0.39,0.38,0.83,0.82,1.49,0.18,0.94,1.06,0.9,0.9,1.04,0.88
e_1,0.43,0.39,4.02,0.41,0.33,0.36,0.74,0.74,0.81,1.44,0.72,0.82,1.02,0.72,0.83,0.22
c_1,0.4,0.38,0.39,4.53,0.74,0.4,0.66,0.59,0.16,0.89,0.56,0.79,0.78,0.73,0.91,0.84
b_1,0.37,0.44,0.33,0.5,4.91,0.69,0.75,0.7,0.54,0.73,0.18,0.71,0.82,0.61,0.7,0.9
a_1,0.47,0.43,0.49,0.29,0.36,6.32,0.82,0.77,0.72,0.75,1.0,0.55,0.97,0.3,0.87,0.57
h_1,0.92,0.68,0.63,0.69,0.65,0.63,4.86,1.49,1.51,1.16,1.66,1.47,0.44,1.25,1.78,1.54
g_1,0.75,1.05,0.52,0.64,0.66,0.58,1.16,6.1,1.35,1.0,1.57,2.17,1.57,1.63,0.55,1.29
c_0,0.88,0.81,0.61,0.25,0.54,0.71,1.32,1.52,3.98,1.33,3.14,1.74,1.73,1.48,1.45,1.64
d_0,0.71,0.15,0.63,1.34,0.63,0.69,1.21,1.79,1.11,3.92,1.84,1.71,1.33,1.27,1.57,1.64
b_0,0.68,0.93,0.64,0.86,0.21,0.51,1.47,1.54,1.32,1.52,4.51,1.73,1.96,3.63,1.57,1.81
f_0,0.26,0.79,0.67,0.73,0.76,0.62,1.5,1.6,1.51,1.47,1.82,4.93,1.51,1.52,1.96,3.73
h_0,0.81,0.76,0.75,0.74,0.55,0.77,0.49,1.63,1.35,1.35,1.54,1.33,0.53,1.53,2.14,1.48
a_0,0.77,0.8,0.73,0.74,0.65,0.24,1.22,1.43,1.39,1.52,1.4,1.81,2.11,6.9,2.12,1.36
g_0,0.68,1.04,0.53,0.8,0.62,0.6,1.27,0.74,1.55,1.49,1.32,2.19,1.38,1.56,0.62,1.8
e_0,0.55,0.9,0.42,0.75,0.62,0.97,1.52,1.57,1.37,1.23,1.58,1.64,1.85,1.71,1.85,6.79
