,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,6.05,2.52,4.4,2.91,2.67,2.65,9.81,9.08,12.27,14.87,13.21,9.52,20.45,13.78,17.4,10.4
d_1,2.93,6.37,2.68,2.2,2.72,2.9,10.54,11.64,22.07,10.05,17.72,15.26,20.45,17.49,24.24,14.66
e_1,2.98,2.43,6.37,3.49,2.73,2.81,10.29,11.65,12.33,21.85,13.4,14.8,22.95,13.11,19.34,10.39
c_1,2.77,2.77,2.36,7.21,5.16,2.88,9.13,9.46,8.01,12.42,8.74,11.94,18.03,12.72,20.25,14.71
b_1,2.78,2.85,2.66,2.78,7.7,5.42,10.18,9.96,11.07,12.39,9.6,13.64,18.81,9.69,18.2,16.54
a_1,3.21,2.96,2.89,2.71,2.87,9.91,11.21,11.65,12.25,12.71,14.52,13.35,21.58,10.48,20.21,13.09
h_1,3.82,3.11,3.14,3.0,2.89,2.9,18.43,12.59,14.02,12.35,13.49,14.12,16.48,15.33,27.41,15.25
g_1,2.98,4.54,2.46,2.75,2.94,2.72,11.19,22.11,15.48,11.73,15.72,20.02,23.0,14.75,17.45,19.28
c_0,3.29,3.42,2.92,2.73,2.29,3.04,10.84,12.3,21.28,14.36,28.21,16.28,24.88,21.7,23.12,18.01
d_0,2.98,2.27,2.74,5.42,3.52,3.01,9.73,12.08,9.25,20.53,13.3,14.45,22.43,15.53,21.4,17.33
b_0,2.96,3.54,3.07,3.48,2.07,2.2,12.3,11.54,14.45,15.85,24.7,16.23,24.86,32.65,25.18,17.86
f_0,2.87,3.35,2.71,3.35,2.84,3.3,11.84,11.74,13.86,15.22,16.06,24.96,22.99,17.39,24.87,33.01
h_0,3.54,3.36,2.92,3.22,2.98,3.1,8.76,13.43,14.6,14.73,16.5,14.99,17.72,17.02,27.76,15.94
a_0,3.12,3.15,2.95,3.54,2.71,2.51,11.71,12.11,12.98,15.64,14.8,16.77,25.38,30.69,24.17,18.14
g_0,3.07,4.12,2.69,2.85,3.31,3.01,10.51,10.41,16.05,14.3,14.96,21.04,20.35,17.42,19.74,19.61
e_0,3.18,3.33,2.55,3.3,3.38,3.14,11.69,12.33,13.54,14.18,16.58,14.2,23.1,15.21,24.09,31.59
