,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.36,0.24,0.28,0.31,0.25,0.32,0.66,0.51,0.78,0.74,0.61,0.52,0.7,0.71,,0.53
f_1,0.44,2.41,0.23,0.32,0.31,0.27,0.49,0.48,0.69,0.5,0.64,,0.62,0.71,0.46,0.7
d_1,0.25,0.31,2.51,0.24,0.28,0.2,0.57,0.49,,1.02,0.66,0.58,0.52,0.73,0.67,0.85
c_1,0.27,0.22,0.33,2.56,0.51,0.24,0.62,0.6,0.6,,0.46,0.52,0.68,0.6,0.63,0.75
b_1,0.33,0.27,0.27,0.21,2.73,0.42,0.59,0.68,0.63,0.41,,0.64,0.5,0.91,0.47,0.91
a_1,0.26,0.24,0.27,0.29,0.28,3.32,0.5,0.64,0.53,0.75,0.67,0.54,,0.97,0.57,
h_1,0.44,0.79,0.53,0.48,0.5,0.43,3.8,1.26,1.32,1.11,1.21,1.21,1.16,,1.14,1.61
g_1,0.51,0.42,0.8,0.5,0.47,0.44,1.16,4.09,1.21,1.13,0.93,2.0,1.01,1.38,1.19,
d_0,0.63,0.53,,0.89,0.57,0.69,1.15,1.08,3.46,1.54,1.33,1.2,1.36,2.01,1.26,1.95
c_0,0.52,0.69,0.53,,0.6,0.49,1.15,1.18,1.22,3.55,2.16,1.45,1.42,1.77,1.73,2.05
b_0,0.63,0.59,0.58,0.56,,0.53,1.13,1.33,1.57,1.26,3.74,1.62,1.97,1.67,1.47,1.17
f_0,0.55,,0.74,0.63,0.48,0.85,1.06,0.78,1.8,1.45,1.22,4.07,1.49,1.92,2.2,1.3
a_0,0.47,0.67,0.55,0.61,0.77,,1.16,1.39,1.02,1.53,1.31,1.49,4.13,1.95,,1.85
h_0,0.81,1.0,0.84,0.99,0.65,0.73,,1.32,1.48,1.56,1.61,1.26,1.75,,1.5,2.65
e_0,,0.66,0.57,0.63,0.64,0.78,1.5,1.41,1.54,1.06,1.31,1.44,,1.95,4.57,1.6
g_0,0.81,0.81,0.9,0.72,0.57,,1.36,,1.56,1.58,1.63,2.52,1.66,2.05,2.06,
