,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.67,1.39,1.88,1.84,2.37,2.12,0.89,1.09,0.95,0.77,0.67,0.69,0.7,0.65,2.43,0.63
f_1,2.54,0.67,2.09,2.13,2.08,1.59,0.69,0.98,0.65,0.68,2.09,0.73,0.65,0.43,0.59,0.51
c_1,2.19,2.03,0.65,2.46,2.32,1.76,0.99,0.91,0.49,1.07,0.79,0.68,0.88,0.69,0.68,0.53
d_1,2.48,2.12,2.2,0.64,1.99,2.22,1.09,0.63,1.69,0.79,0.91,0.7,0.78,0.55,0.67,0.45
b_1,1.9,2.21,1.55,2.37,0.64,2.31,1.08,1.12,0.83,0.88,0.82,2.17,0.72,0.72,0.68,0.85
a_1,2.8,2.97,2.85,2.54,1.72,0.56,1.3,1.25,1.03,1.13,0.85,1.11,1.39,0.9,0.98,0.7
h_1,2.53,3.09,2.47,2.47,2.56,2.06,0.6,1.37,1.09,0.96,0.8,0.88,0.91,1.37,0.78,0.73
g_1,2.6,3.1,3.09,2.79,2.84,2.76,1.03,0.57,1.21,0.93,1.11,0.87,0.91,0.74,0.99,1.74
d_0,1.56,3.54,3.82,4.91,2.54,2.61,1.33,1.39,0.67,1.09,0.94,1.26,1.19,0.85,1.01,1.16
c_0,3.43,3.84,5.84,1.99,2.91,2.41,1.41,1.29,1.27,0.64,0.97,1.34,0.95,0.89,0.86,1.26
f_0,2.82,4.56,3.47,2.96,2.76,3.21,1.83,0.97,1.34,1.01,0.62,1.18,1.01,1.03,1.31,0.7
b_0,3.79,3.24,3.8,2.75,3.88,2.76,1.32,1.34,1.27,0.62,1.0,0.61,1.38,0.97,0.97,0.89
a_0,3.6,3.64,3.04,2.92,4.21,,1.51,1.73,1.46,1.07,0.94,0.79,0.59,0.82,1.39,0.95
h_0,2.96,3.94,3.25,3.71,3.54,2.94,2.83,1.69,1.35,1.17,1.14,1.38,1.19,1.67,1.14,1.1
e_0,4.02,4.98,3.75,3.57,3.48,2.73,1.54,1.5,1.54,1.25,0.74,1.48,1.0,1.21,0.58,0.85
g_0,3.53,4.17,3.94,3.79,2.94,4.7,1.56,2.51,1.23,1.21,1.41,1.32,1.19,0.91,1.59,1.67
