,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.92,0.42,0.48,0.3,0.34,0.21,0.34,0.63,0.33,0.27,0.36,0.31,0.28,0.35,0.17,0.28
f_1,0.66,0.92,0.4,0.3,0.31,0.2,0.34,0.43,0.34,0.25,0.35,0.21,0.25,0.33,0.14,0.27
c_1,0.37,0.37,0.92,0.36,0.59,0.27,0.35,0.37,0.25,0.28,0.24,0.28,0.2,0.31,0.22,0.25
d_1,0.38,0.48,0.32,0.92,0.34,0.21,0.4,0.28,0.62,0.33,0.38,0.32,0.28,0.35,0.19,0.29
b_1,0.4,0.39,0.4,0.4,0.91,0.4,0.4,0.38,0.34,0.26,0.25,0.3,0.19,0.34,0.19,0.28
a_1,0.38,0.44,0.41,0.41,0.35,0.9,0.39,0.34,0.41,0.32,0.34,0.31,0.17,0.42,0.23,0.31
h_1,0.44,0.52,0.38,0.51,0.33,0.24,0.65,0.33,0.38,0.39,0.36,0.31,0.26,0.3,0.23,0.38
d_0,0.43,0.43,0.69,0.31,0.41,0.22,0.38,0.57,0.3,0.32,0.36,0.31,0.27,0.38,0.23,0.26
c_0,0.43,0.42,0.37,0.49,0.33,0.25,0.4,0.39,0.59,0.37,0.61,0.37,0.35,0.39,0.26,0.36
g_1,0.42,0.45,0.39,0.59,0.34,0.23,0.4,0.34,0.43,0.63,0.37,0.47,0.25,0.39,0.25,0.24
b_0,0.45,0.46,0.43,0.47,0.3,0.24,0.42,0.4,0.41,0.38,0.53,0.33,0.48,0.37,0.26,0.32
f_0,0.39,0.38,0.44,0.43,0.38,0.25,0.45,0.44,0.47,0.33,0.42,0.57,0.32,0.38,0.49,0.28
a_0,0.45,0.51,0.5,0.41,0.35,0.15,0.41,0.44,0.4,0.36,0.38,0.35,0.48,0.38,0.24,0.32
h_0,0.42,0.58,0.45,0.42,0.32,0.26,0.3,0.39,0.34,0.41,0.38,0.33,0.23,0.29,0.21,0.38
e_0,0.3,0.43,0.56,0.46,0.45,0.28,0.39,0.41,0.31,0.33,0.37,0.32,0.23,0.43,0.47,0.32
g_0,0.4,0.38,0.4,0.59,0.36,0.26,0.39,0.38,0.43,0.27,0.4,0.44,0.26,0.35,0.24,0.26
