,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.46,3.19,4.5,3.81,4.43,3.97,0.89,0.76,1.19,0.73,0.83,3.14,0.57,0.96,0.96,0.96
e_1,2.21,0.45,4.34,4.08,4.71,4.4,1.2,1.04,1.73,0.91,0.75,1.14,0.73,6.58,0.92,0.71
c_1,3.65,4.94,0.43,6.1,5.16,4.63,1.31,0.48,1.37,2.75,1.08,0.8,0.6,0.59,0.74,0.64
d_1,4.84,6.97,4.45,0.4,4.28,3.94,1.36,4.51,0.84,0.8,1.03,0.91,0.63,1.07,1.09,0.42
b_1,5.75,5.35,2.45,5.84,0.39,6.51,1.29,1.34,1.17,1.5,4.86,0.96,0.63,0.82,0.97,0.58
a_1,6.17,6.65,5.47,7.72,2.67,0.33,1.94,1.79,1.96,1.43,1.31,1.17,0.82,1.03,4.2,1.1
h_1,4.91,4.72,5.7,4.48,5.83,5.18,0.36,1.04,1.5,1.05,0.9,0.87,2.23,0.83,0.85,0.68
d_0,7.48,2.7,6.14,20.59,5.43,4.42,1.74,0.46,1.69,1.36,1.0,0.87,0.74,1.22,1.03,0.84
g_1,7.31,4.89,6.26,5.65,6.15,6.18,1.24,1.09,0.32,1.07,1.16,1.07,0.65,1.23,1.05,2.17
c_0,6.17,6.49,22.08,2.48,6.43,6.98,1.61,1.5,1.44,0.42,1.27,1.46,0.72,1.04,1.31,0.79
b_0,7.14,4.46,10.09,4.69,24.35,5.99,2.25,1.18,1.64,0.54,0.39,1.25,0.88,1.36,1.05,0.93
f_0,23.0,5.68,6.45,7.08,5.26,5.87,1.77,1.27,1.22,1.13,1.03,0.37,1.02,0.92,1.19,0.46
h_0,9.49,6.46,8.49,5.41,6.46,6.27,5.49,1.34,2.38,1.54,1.81,1.53,1.97,1.19,1.39,1.21
e_0,10.68,17.2,8.41,5.75,6.77,5.31,1.78,1.23,1.92,1.44,1.36,0.82,0.79,0.36,1.6,0.78
a_0,7.66,5.02,8.91,7.78,11.44,17.74,2.21,1.42,1.96,1.11,0.7,1.68,1.19,1.95,0.34,1.17
g_0,13.63,8.13,7.35,6.32,7.81,7.99,2.11,1.55,6.81,1.51,1.4,1.29,0.79,1.1,1.26,2.78
