,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.26,1.03,1.04,1.57,3.55,18.2,30.31,31.3,28.59,34.16,46.43,55.85,66.26,87.27,91.71
e_1,0.79,1.0,1.27,1.13,1.44,3.62,18.75,27.8,37.91,32.65,39.68,46.1,66.33,93.27,88.45,109.86
c_1,0.97,0.79,1.0,1.09,1.76,2.65,17.24,28.14,18.96,27.33,30.19,30.14,63.92,86.92,72.48,115.45
d_1,0.96,0.88,0.92,1.0,1.45,2.46,16.74,19.33,28.23,40.32,26.65,35.07,56.84,69.58,60.15,77.7
b_1,0.64,0.69,0.57,0.69,1.0,3.78,13.46,17.67,19.02,25.31,21.75,30.45,38.72,53.45,59.94,64.98
a_1,0.28,0.28,0.38,0.41,0.26,1.0,4.95,8.17,7.12,7.96,10.48,16.29,18.68,30.71,22.99,26.17
h_1,0.06,0.05,0.06,0.06,0.08,0.21,1.0,1.84,1.41,1.68,2.18,2.42,2.96,4.96,3.99,6.95
g_1,0.03,0.03,0.04,0.05,0.05,0.12,0.54,1.0,0.99,1.13,1.77,1.74,1.66,2.49,3.32,4.6
d_0,0.03,0.03,0.05,0.04,0.06,0.15,0.7,0.94,1.0,1.01,1.24,1.61,2.11,2.96,3.92,4.25
c_0,0.04,0.03,0.04,0.03,0.04,0.13,0.61,0.91,0.96,1.0,1.17,2.09,2.15,2.36,3.11,3.97
f_0,0.03,0.02,0.03,0.04,0.05,0.1,0.47,0.55,0.83,0.84,1.0,1.58,1.92,2.97,2.38,2.39
b_0,0.02,0.02,0.03,0.03,0.03,0.06,0.42,0.59,0.61,0.45,0.61,1.0,1.49,1.46,2.97,2.26
h_0,0.02,0.01,0.02,0.02,0.03,0.05,0.34,0.59,0.46,0.45,0.52,0.65,1.0,1.42,1.47,2.06
e_0,0.02,0.01,0.01,0.01,0.02,0.03,0.21,0.4,0.3,0.41,0.29,0.76,0.69,1.0,1.18,1.21
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.25,0.28,0.24,0.36,0.4,0.36,0.66,0.79,1.0,1.35
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.15,0.22,0.25,0.24,0.4,0.44,0.48,0.83,0.73,1.0
