,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.48,2.26,1.55,1.74,1.63,1.43,2.91,3.06,3.75,3.11,3.49,2.94,3.61,3.95,4.29,3.01
e_1,1.59,2.47,1.56,1.98,1.61,1.64,3.8,3.34,5.28,3.71,4.14,4.08,4.25,4.55,4.7,3.7
d_1,1.8,1.67,2.54,1.49,1.56,1.67,3.36,3.07,2.91,5.48,4.57,4.2,3.82,4.38,4.44,4.26
c_1,1.64,1.54,1.7,2.61,2.61,1.83,2.84,2.88,3.04,2.68,2.65,3.32,3.48,4.49,4.23,3.53
b_1,1.64,1.59,1.86,1.44,2.81,2.76,3.18,3.28,3.42,3.45,3.01,3.71,2.99,4.49,4.5,3.67
a_1,1.8,1.6,1.81,1.63,1.55,3.22,3.55,3.53,3.66,3.57,3.68,4.02,3.17,5.81,4.88,3.94
h_1,2.13,1.63,1.72,1.85,1.58,1.52,4.33,4.01,3.93,3.64,3.96,3.79,3.58,4.34,5.56,4.44
g_1,1.59,1.66,2.25,1.79,1.6,1.73,2.84,4.69,3.17,3.68,3.7,4.77,3.37,4.32,4.8,3.92
d_0,1.71,1.45,1.52,2.67,1.93,1.63,3.24,3.61,4.48,2.7,3.52,3.71,4.09,4.84,4.86,4.08
c_0,1.95,1.85,1.53,1.84,1.5,1.57,3.51,3.74,4.42,4.58,6.44,4.31,4.66,5.0,4.84,4.41
b_0,1.98,1.66,1.71,1.99,1.62,1.37,3.31,3.85,3.91,3.17,4.8,3.51,6.28,5.46,5.21,3.86
f_0,1.71,1.66,1.74,1.97,1.8,1.72,3.59,3.25,4.09,3.53,4.02,5.08,3.88,4.82,4.64,7.07
a_0,1.98,1.69,1.8,1.86,1.7,1.48,3.77,3.85,3.77,3.42,3.7,4.03,5.37,4.7,5.2,3.67
h_0,2.17,1.81,1.84,1.76,1.66,1.32,2.71,4.16,3.37,3.38,3.45,3.82,3.54,4.16,5.89,3.79
g_0,1.79,1.62,2.12,1.78,1.68,1.74,3.32,2.97,3.52,3.53,3.48,4.88,3.77,4.45,4.39,4.31
e_0,2.04,1.69,1.76,1.98,1.64,1.68,3.12,3.77,3.23,3.7,4.2,2.9,4.12,5.07,4.99,5.82
