,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,1.01,1.0,0.85,0.67,0.51,0.66,0.45,0.44,0.36,0.37,0.36,0.31,0.37,0.26
f_1,1.27,1.0,0.88,0.88,0.89,0.83,0.43,0.42,0.47,0.45,0.42,0.37,0.28,0.41,0.41,0.33
d_1,0.99,1.14,1.0,1.11,0.77,0.67,0.53,0.5,0.6,0.33,0.47,0.4,0.33,0.35,0.23,0.27
c_1,1.0,1.13,0.9,1.0,1.38,0.75,0.53,0.36,0.26,0.47,0.35,0.39,0.39,0.29,0.35,0.33
b_1,1.18,1.12,1.3,0.73,1.0,1.11,0.55,0.47,0.53,0.51,0.34,0.37,0.42,0.36,0.34,0.32
a_1,1.48,1.21,1.5,1.33,0.9,1.0,0.71,0.54,0.56,0.71,0.78,0.53,0.45,0.45,0.46,0.36
h_1,1.91,2.36,1.91,1.99,1.81,1.43,1.0,0.98,0.82,1.11,0.9,0.64,0.66,0.65,0.74,0.65
d_0,1.44,2.42,2.07,2.86,2.22,1.83,1.03,1.0,0.87,1.09,1.0,0.83,0.87,0.62,0.61,0.86
c_0,2.17,2.1,1.64,3.69,1.83,1.75,1.25,1.15,1.0,1.18,1.31,0.9,0.66,0.91,0.72,0.7
g_1,2.19,2.12,2.94,2.14,1.96,1.41,0.9,0.93,0.87,1.0,0.86,1.08,0.6,0.6,0.64,0.71
b_0,2.55,2.42,2.08,3.08,2.82,1.37,1.05,0.97,0.76,1.1,1.0,0.93,1.07,1.14,0.73,0.82
f_0,2.56,2.87,2.59,2.48,2.72,1.89,1.63,1.14,1.12,0.86,1.07,1.0,0.97,0.95,0.72,1.18
h_0,2.75,3.66,3.11,2.58,2.5,2.13,1.56,1.2,1.39,1.69,0.93,1.01,1.0,0.9,1.14,0.79
a_0,3.25,2.59,2.88,3.41,2.75,2.02,1.57,1.47,1.21,1.55,0.95,1.14,1.04,1.0,0.99,0.87
g_0,2.79,2.53,4.29,3.03,2.83,2.13,1.33,1.6,1.4,1.48,1.37,1.43,0.88,0.92,1.0,0.89
e_0,3.62,3.27,3.51,2.82,3.07,2.77,1.56,1.07,1.4,1.35,1.38,0.84,1.4,1.06,1.22,1.0
