,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.37,0.89,0.93,0.99,0.83,0.99,0.96,0.95,1.08,1.1,,0.94,0.82,1.03,1.13
e_1,0.73,1.0,1.1,0.86,0.94,1.03,0.91,0.9,1.21,1.11,1.02,1.3,1.02,1.01,,1.15
d_1,1.13,0.91,1.0,0.84,0.95,1.06,1.13,1.27,,0.85,0.99,1.05,1.0,0.96,1.03,0.78
c_1,1.08,1.16,1.2,1.0,1.64,0.93,0.85,,0.77,1.0,0.83,1.0,1.22,1.0,1.03,0.8
b_1,1.01,1.06,1.05,0.61,1.0,1.38,1.04,0.94,1.17,1.2,,0.89,0.82,1.21,0.75,1.08
a_1,1.2,0.97,0.94,1.08,0.73,1.0,1.3,1.07,1.05,0.86,0.98,0.84,,0.98,1.13,1.09
h_1,1.01,1.1,0.88,1.18,0.96,0.77,1.0,1.15,1.03,1.15,0.92,1.09,0.9,,0.85,0.99
c_0,1.04,1.11,0.79,,1.07,0.94,0.87,1.0,0.84,1.12,1.33,0.92,0.94,1.05,1.08,0.98
d_0,1.05,0.82,,1.31,0.85,0.95,0.97,1.19,1.0,0.96,1.05,1.16,0.9,0.75,1.41,0.89
g_1,0.92,0.9,1.18,1.0,0.84,1.16,0.87,0.89,1.04,1.0,0.88,1.18,1.0,1.22,,
b_0,0.91,0.98,1.01,1.2,,1.02,1.09,0.75,0.96,1.13,1.0,0.98,1.62,0.88,0.94,1.02
f_0,,0.77,0.95,1.0,1.12,1.19,0.92,1.08,0.86,0.85,1.02,1.0,1.38,1.02,1.43,0.87
a_0,1.07,0.98,1.0,0.82,1.22,,1.11,1.06,1.11,1.0,0.62,0.72,1.0,1.22,1.21,
h_0,1.22,0.99,1.04,1.0,0.82,1.02,,0.95,1.34,0.82,1.14,0.98,0.82,,0.77,1.11
e_0,0.97,,0.97,0.97,1.33,0.89,1.18,0.93,0.71,,1.07,0.7,0.83,1.3,1.0,
g_0,0.88,0.87,1.28,1.25,0.93,0.92,1.01,1.02,1.12,,0.98,1.15,,0.9,,
