,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,1.02,1.15,1.27,1.25,1.04,0.24,0.22,0.45,0.25,0.22,0.34,0.12,0.2,0.25,0.21
e_1,0.65,0.42,1.3,1.57,1.31,1.23,0.33,0.27,0.36,0.24,0.26,0.32,0.18,0.25,0.4,0.19
d_1,1.49,1.35,0.41,1.26,1.05,1.05,0.33,0.23,0.2,0.36,0.25,0.22,0.16,0.22,0.24,0.11
c_1,1.39,0.99,1.7,0.39,1.41,1.09,0.36,0.36,0.38,0.15,0.24,0.24,0.17,0.23,0.23,0.17
b_1,1.42,1.41,1.37,0.67,0.39,1.51,0.44,0.36,0.37,0.29,0.46,0.26,0.22,0.25,0.25,0.22
a_1,1.69,1.58,1.39,1.82,0.75,0.33,0.42,0.36,0.5,0.42,0.5,0.34,0.3,0.68,0.35,0.24
h_1,2.06,2.02,2.18,2.45,1.97,1.52,0.31,0.45,0.65,0.44,0.44,0.43,0.41,0.41,0.42,0.31
c_0,2.66,2.69,1.32,4.6,2.68,2.2,0.72,0.32,0.58,0.68,0.48,0.44,0.35,0.51,0.42,0.32
g_1,2.58,2.57,2.22,2.48,2.41,2.35,0.53,0.44,0.28,0.55,0.46,0.46,0.27,0.48,0.38,0.37
d_0,2.09,1.46,3.41,3.02,2.7,2.08,0.85,0.55,0.9,0.35,0.52,0.54,0.4,0.54,0.52,0.4
b_0,2.89,2.52,1.87,3.43,4.12,2.29,0.7,0.29,0.76,0.54,0.31,0.48,0.4,0.46,0.47,0.32
f_0,4.34,2.62,2.33,2.66,2.71,2.45,0.79,0.53,0.47,0.68,0.54,0.3,0.4,0.52,0.47,0.25
h_0,2.76,2.86,2.6,2.92,2.9,2.53,1.03,0.54,0.83,0.55,0.57,0.55,0.57,0.51,0.53,0.41
a_0,3.59,2.8,2.58,3.13,3.65,4.5,0.76,0.54,0.94,0.67,0.34,0.49,0.52,0.3,0.5,0.41
e_0,4.19,4.45,2.62,2.99,3.59,3.45,0.94,0.59,0.93,0.68,0.62,0.31,0.4,0.47,0.27,0.33
g_0,3.42,3.11,3.03,3.06,3.3,2.95,0.72,0.69,1.15,0.74,0.72,0.68,0.38,0.67,0.6,0.64
