,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,3.87,0.7,0.34,0.37,0.4,0.38,0.9,0.8,0.93,0.78,0.2,0.78,0.81,0.55,0.8,0.63
e_1,0.44,3.89,0.46,0.35,0.33,0.44,0.7,0.59,1.43,0.77,0.92,0.84,0.83,0.22,0.8,0.88
c_1,0.4,0.35,4.1,0.36,0.76,0.27,0.81,0.75,0.76,0.23,0.84,0.46,1.05,1.0,0.73,1.05
d_1,0.45,0.36,0.33,4.25,0.4,0.23,0.78,0.76,0.23,1.73,0.82,0.85,1.04,0.73,0.65,0.99
b_1,0.38,0.37,0.47,0.34,4.81,0.83,0.8,0.62,0.73,0.69,0.74,0.17,0.77,0.81,0.72,0.77
a_1,0.4,0.45,0.41,0.39,0.33,7.36,0.69,0.77,0.74,0.52,0.91,0.99,0.78,1.14,0.2,0.63
h_1,0.9,0.65,0.75,0.7,0.62,0.67,5.07,1.64,1.26,1.23,1.49,1.28,0.49,1.57,1.04,1.82
g_1,0.64,0.53,0.57,1.16,0.59,0.63,1.04,6.4,1.3,1.29,2.28,1.71,1.1,1.22,1.55,0.61
d_0,0.66,0.73,1.29,0.21,0.61,0.8,1.37,1.27,3.37,1.21,1.61,1.53,1.46,1.47,1.86,1.51
c_0,0.94,0.73,0.33,0.82,0.43,0.63,1.22,1.32,1.54,4.01,1.75,3.11,1.85,1.63,1.77,2.0
f_0,0.21,0.61,0.85,0.92,0.73,0.75,1.06,1.13,1.61,1.51,4.43,1.82,1.69,3.15,1.07,1.46
b_0,0.71,0.75,0.75,1.0,0.18,0.53,1.19,1.42,1.5,1.33,1.18,4.8,1.95,1.2,3.67,1.56
h_0,0.86,0.56,0.72,0.81,0.66,0.56,0.54,1.77,1.45,1.29,1.41,1.5,0.9,1.68,1.94,2.2
e_0,0.89,0.19,0.7,0.82,0.71,0.52,1.24,1.59,1.21,1.89,1.64,2.2,1.55,6.21,2.12,1.94
a_0,0.75,0.66,0.84,0.95,0.55,0.27,1.45,1.3,1.11,1.51,1.28,1.75,1.79,1.36,6.25,1.6
g_0,0.67,0.67,0.6,1.18,0.67,0.61,1.05,0.38,1.13,1.12,2.06,1.58,1.45,2.03,1.21,0.65
