,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.72,0.93,1.14,0.98,0.87,0.77,0.89,0.61,0.65,0.63,0.72,0.61,0.5,0.59,0.61
f_1,1.4,1.0,0.99,0.91,0.92,0.65,0.59,0.61,0.66,0.59,0.64,0.53,0.57,0.56,0.6,0.43
d_1,1.08,1.01,1.0,0.94,0.91,0.83,0.72,0.68,0.62,0.94,0.62,0.68,0.55,0.59,0.45,0.51
c_1,0.88,1.1,1.07,1.0,1.42,0.69,0.8,0.52,0.66,0.68,0.67,0.54,0.64,0.58,0.59,0.45
b_1,1.02,1.08,1.09,0.7,1.0,1.43,0.8,0.8,0.66,0.88,0.75,0.76,0.56,0.65,0.51,0.82
a_1,1.15,1.55,1.2,1.44,0.7,1.0,0.7,0.78,1.01,0.71,0.61,0.68,0.72,0.48,0.71,0.59
h_1,1.28,1.72,1.4,1.28,1.21,1.38,1.0,0.89,1.12,0.83,0.93,0.81,0.81,0.79,1.07,1.11
d_0,1.15,1.63,1.5,1.95,1.31,1.27,1.19,1.0,0.95,0.9,0.96,0.98,1.02,0.91,0.93,0.94
g_1,1.63,1.47,1.59,1.52,1.45,1.05,0.89,1.03,1.0,0.94,1.0,1.04,0.77,0.82,0.86,0.93
c_0,1.51,1.68,1.14,1.53,1.22,1.51,1.23,1.01,1.03,1.0,1.4,1.19,1.09,0.88,1.2,0.99
b_0,1.54,1.46,1.69,1.49,1.38,1.56,1.07,1.11,0.99,0.71,1.0,0.97,0.91,1.05,0.93,0.9
f_0,1.36,1.91,1.53,1.86,1.35,1.43,1.13,1.03,0.97,0.85,1.05,1.0,0.96,0.99,0.75,1.14
h_0,1.62,1.8,1.8,1.62,1.76,1.33,1.22,0.97,1.31,0.91,1.15,1.02,1.0,0.81,1.04,0.95
a_0,1.82,2.06,1.66,1.68,1.51,,1.28,1.08,1.25,1.04,0.95,1.01,1.26,1.0,1.08,1.08
g_0,1.56,1.63,2.22,1.7,1.94,1.38,0.93,1.05,1.2,0.81,1.03,1.32,0.95,0.94,1.0,1.13
e_0,1.47,2.27,1.98,2.2,1.3,1.63,0.88,0.98,1.08,0.99,1.05,0.85,1.0,0.99,0.87,1.0
