,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.63,0.64,0.55,0.64,1.24,0.48,0.91,0.84,0.87,0.32,1.01,0.65,1.01,0.97,0.81,0.88
f_1,0.67,2.62,0.75,1.13,0.52,0.45,0.88,0.84,0.81,0.88,0.39,0.98,0.86,0.5,0.99,0.75
d_1,0.51,0.73,2.8,0.55,0.6,0.57,1.02,0.94,0.48,1.88,1.1,1.33,0.98,1.13,1.04,1.02
e_1,0.77,0.66,0.55,2.79,0.67,0.6,0.77,0.88,1.77,0.85,0.98,0.96,1.03,0.5,0.93,1.08
b_1,0.62,0.66,0.62,0.65,2.94,1.4,0.96,0.73,0.87,0.78,0.92,0.38,0.94,0.9,0.77,0.83
a_1,0.82,0.71,0.59,0.54,0.58,4.5,0.87,1.02,0.95,0.94,1.02,0.88,0.98,1.28,0.52,1.03
h_1,0.79,1.1,0.88,0.7,0.63,0.85,2.59,1.49,0.97,1.19,0.99,1.18,0.75,1.07,1.18,1.42
g_1,0.71,0.68,1.35,0.68,0.7,0.6,1.13,3.09,0.99,1.13,1.85,1.12,1.08,1.45,1.08,0.85
d_0,1.56,0.77,0.45,0.8,0.76,0.72,0.92,1.02,2.04,0.73,1.23,1.06,1.11,1.15,1.12,1.14
c_0,0.62,0.85,0.97,0.74,0.53,0.74,1.21,1.21,1.1,2.25,1.29,2.62,1.34,1.39,1.27,1.43
f_0,0.91,0.47,1.03,0.66,0.82,0.89,1.15,1.02,0.95,1.2,2.48,1.38,1.18,2.48,1.31,1.25
b_0,0.8,1.05,0.94,0.77,0.45,0.55,1.15,1.16,1.23,1.17,0.97,2.43,1.46,1.35,2.55,1.38
h_0,0.77,1.08,0.88,0.8,0.69,0.69,0.79,1.61,1.16,1.08,1.16,1.09,0.76,1.22,1.29,1.66
e_0,0.86,1.02,1.0,0.35,0.82,0.72,1.37,1.3,0.89,0.87,1.09,1.22,1.4,3.39,1.19,1.24
a_0,0.86,0.87,1.03,0.69,0.7,0.53,1.22,1.19,1.03,1.03,0.95,1.0,1.25,1.23,3.07,1.29
g_0,0.92,0.65,1.25,0.66,0.78,0.63,0.92,0.73,0.99,1.27,1.7,1.23,1.25,1.21,1.22,0.86
