,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.09,2.94,1.49,2.59,2.32,2.09,0.75,0.56,0.54,0.9,0.61,0.64,0.33,0.39,0.94,0.54
d_1,2.87,1.08,2.88,2.69,2.32,2.17,0.63,0.88,0.46,0.44,0.51,0.4,0.33,0.22,0.42,0.41
f_1,2.36,2.51,1.09,2.47,2.32,2.2,0.56,0.51,0.53,0.81,0.5,0.69,0.28,0.41,0.47,0.51
c_1,2.05,3.32,2.3,1.1,2.41,2.39,0.73,0.33,0.68,0.69,0.51,0.53,0.37,0.35,0.51,0.4
b_1,2.88,3.53,3.35,1.7,1.11,3.37,0.92,0.6,0.85,0.81,0.82,0.61,0.49,0.46,0.58,0.6
a_1,4.95,4.82,4.72,4.48,2.44,1.13,1.27,1.01,0.88,1.27,1.23,0.87,0.7,0.67,0.85,0.99
h_1,9.01,9.97,10.59,9.05,8.49,7.22,1.51,2.01,1.95,2.66,1.91,1.7,1.55,1.25,1.74,1.72
d_0,7.07,15.26,10.46,13.96,11.28,9.6,3.65,1.8,2.61,3.78,2.52,2.39,1.65,1.71,2.67,2.14
c_0,12.9,7.35,13.69,16.1,13.35,10.37,3.54,3.97,1.7,2.93,2.34,2.31,1.81,1.42,2.2,2.06
g_1,10.97,12.45,13.64,11.89,11.56,10.1,2.64,2.82,2.57,1.6,2.89,2.22,1.37,1.75,2.26,2.09
b_0,12.9,10.74,15.79,16.99,16.53,10.77,3.71,2.8,1.67,3.22,1.76,2.25,1.76,1.82,2.26,2.01
f_0,13.6,13.47,20.92,16.02,14.14,10.71,4.27,3.37,2.95,2.72,3.19,1.84,1.98,1.42,2.38,2.35
h_0,18.73,16.9,17.85,19.45,17.13,15.85,6.55,4.26,3.56,5.23,3.64,3.56,3.32,2.56,2.96,2.96
g_0,20.13,21.69,23.36,23.21,20.31,18.39,4.98,5.52,4.21,6.11,4.12,3.98,2.47,4.12,4.1,3.61
e_0,31.45,16.99,27.28,22.74,20.16,16.66,6.3,5.75,4.26,4.71,4.94,2.5,3.1,2.75,1.98,3.39
a_0,23.48,18.84,26.43,26.5,25.38,29.09,7.43,5.04,3.89,6.54,2.85,4.33,3.45,3.59,3.97,2.32
