,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.94,0.7,0.35,0.39,0.31,0.24,0.25,0.25,0.22,0.23,0.14,0.22,0.19,0.15,0.12,0.19
e_1,0.4,0.94,0.51,0.35,0.32,0.3,0.26,0.44,0.26,0.26,0.29,0.25,0.3,0.14,0.19,0.18
c_1,0.53,0.37,0.94,0.44,0.62,0.26,0.26,0.2,0.21,0.11,0.22,0.19,0.26,0.13,0.17,0.24
d_1,0.47,0.47,0.35,0.95,0.34,0.26,0.3,0.19,0.24,0.45,0.3,0.28,0.25,0.21,0.17,0.19
b_1,0.55,0.45,0.35,0.43,0.94,0.54,0.27,0.31,0.25,0.23,0.24,0.15,0.28,0.17,0.19,0.23
a_1,0.58,0.47,0.57,0.52,0.3,0.93,0.29,0.37,0.24,0.28,0.27,0.26,0.31,0.22,0.15,0.23
h_1,0.96,0.67,0.73,0.59,0.52,0.4,0.75,0.39,0.49,0.42,0.3,0.38,0.25,0.22,0.24,0.38
d_0,0.84,0.61,1.1,0.49,0.58,0.46,0.52,0.65,0.37,0.39,0.46,0.38,0.41,0.25,0.25,0.42
g_1,0.81,0.68,0.65,0.92,0.55,0.46,0.42,0.4,0.74,0.37,0.57,0.39,0.33,0.31,0.3,0.24
c_0,0.8,0.88,0.63,0.62,0.57,0.42,0.51,0.49,0.51,0.64,0.43,0.7,0.42,0.33,0.35,0.35
f_0,0.65,0.62,0.82,0.76,0.67,0.53,0.54,0.49,0.35,0.49,0.66,0.42,0.42,0.57,0.3,0.36
b_0,0.87,0.84,0.91,0.64,0.44,0.48,0.54,0.47,0.49,0.39,0.43,0.67,0.43,0.3,0.52,0.4
h_0,1.13,0.73,0.79,0.73,0.63,0.55,0.51,0.51,0.56,0.45,0.39,0.46,0.38,0.31,0.33,0.44
e_0,0.85,0.67,1.02,0.7,0.8,0.55,0.7,0.66,0.49,0.53,0.41,0.53,0.58,0.62,0.46,0.45
a_0,1.16,0.69,0.98,0.84,0.69,0.38,0.6,0.59,0.42,0.46,0.49,0.43,0.5,0.33,0.62,0.48
g_0,0.69,0.88,0.82,1.13,0.75,0.55,0.57,0.36,0.41,0.51,0.63,0.46,0.44,0.37,0.31,0.33
