,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.77,1.14,0.97,0.98,0.99,1.03,1.35,1.05,1.04,1.09,1.15,1.03,1.14,1.13,1.25
f_1,1.28,1.0,1.02,0.75,1.01,0.9,0.88,1.11,0.98,1.05,1.01,0.94,0.92,0.86,0.84,1.03
c_1,0.87,0.98,1.0,1.13,1.32,0.83,1.12,0.65,0.81,1.09,0.94,0.9,0.9,0.91,0.96,0.97
d_1,1.03,1.33,0.89,1.0,0.97,0.88,0.96,0.97,1.28,0.8,0.91,0.93,1.01,1.0,0.88,0.75
b_1,1.02,1.0,0.76,1.03,1.0,1.51,1.09,1.1,0.99,1.01,0.92,1.05,0.96,1.02,0.84,1.09
a_1,1.01,1.12,1.19,1.14,0.67,1.0,1.06,0.91,0.89,1.05,0.96,1.25,1.85,1.17,1.2,0.99
h_1,0.94,1.14,0.88,1.03,0.91,0.93,1.0,0.98,0.96,1.17,0.96,0.9,0.99,1.02,1.05,1.31
d_0,0.73,0.94,1.52,1.05,0.9,1.08,1.01,1.0,0.91,1.05,1.06,0.93,0.96,1.15,1.03,1.02
c_0,0.98,1.01,1.24,0.78,0.98,1.13,1.01,1.13,1.0,1.09,1.43,1.03,1.06,1.14,1.27,1.03
g_1,0.95,0.95,0.93,1.24,0.98,0.91,0.86,0.96,0.89,1.0,0.99,1.16,0.85,0.89,1.07,0.94
b_0,0.94,0.97,1.09,1.06,1.09,1.03,1.03,0.93,0.7,1.08,1.0,0.84,1.54,0.93,1.07,0.96
f_0,0.81,1.15,1.07,1.08,0.96,0.89,1.11,1.07,0.92,0.81,1.2,1.0,1.04,0.94,1.56,0.82
a_0,0.95,1.08,1.08,0.99,1.12,0.61,0.99,1.08,1.0,1.16,0.7,0.93,1.0,1.07,1.0,1.14
h_0,0.93,1.13,1.07,1.07,1.01,0.93,0.95,0.91,0.89,1.1,1.11,1.0,0.94,1.0,1.0,1.05
e_0,0.81,1.12,1.11,1.16,1.17,0.82,0.94,1.03,0.89,1.0,1.0,0.68,1.0,1.06,1.0,1.0
g_0,0.87,0.92,1.01,1.38,0.93,0.94,0.78,1.0,0.99,1.03,1.01,1.17,0.92,0.96,1.05,1.0
