,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.12,0.97,0.87,0.94,0.83,0.63,0.56,0.91,0.71,0.67,0.65,0.56,0.55,0.59,0.5
f_1,0.9,1.0,1.28,0.99,0.84,0.91,0.62,0.69,0.58,0.61,0.67,0.46,0.51,0.56,0.5,0.57
e_1,1.02,0.78,1.0,1.17,0.98,0.78,0.78,0.71,0.66,0.64,0.91,0.72,0.65,0.63,0.65,0.6
c_1,1.16,1.02,0.85,1.0,1.45,0.79,0.7,0.75,0.56,0.54,0.47,0.65,0.6,0.6,0.53,0.57
b_1,1.05,1.19,1.02,0.68,1.0,1.58,0.8,0.71,0.76,0.66,0.61,0.61,0.65,0.61,0.59,0.58
a_1,1.2,1.1,1.28,1.26,0.63,1.0,0.97,0.84,0.76,0.96,0.91,0.69,0.89,0.89,0.81,0.67
h_1,1.55,1.62,1.3,1.41,1.21,1.08,1.0,1.12,0.89,0.87,0.75,0.87,0.73,0.81,0.81,0.94
g_1,1.78,1.51,1.4,1.32,1.35,1.19,0.87,1.0,1.0,0.85,0.83,1.14,0.8,0.84,0.8,0.77
c_0,1.12,1.79,1.53,1.69,1.25,1.35,1.12,0.93,1.0,1.45,1.07,1.05,0.98,1.06,0.91,0.89
b_0,1.37,1.65,1.54,1.92,1.43,1.05,1.13,1.16,0.72,1.0,1.06,0.97,0.99,1.07,0.88,0.83
d_0,1.45,1.41,1.09,2.23,1.76,1.16,1.31,1.18,0.88,0.92,1.0,1.0,0.95,0.91,0.99,0.93
f_0,1.55,1.9,1.42,1.64,1.56,1.42,1.16,0.9,0.98,1.03,0.99,1.0,1.01,0.82,1.47,0.74
h_0,1.71,1.96,1.49,1.79,1.5,1.13,1.37,1.29,0.97,1.03,1.03,1.03,1.0,0.89,0.99,1.13
a_0,1.8,1.74,1.53,1.8,1.65,1.21,1.25,1.22,0.99,0.91,1.03,1.26,1.11,1.0,0.91,1.16
e_0,1.64,2.08,1.6,1.88,1.69,1.32,1.15,1.18,1.12,1.15,0.97,0.71,1.04,1.13,1.0,1.0
g_0,1.99,1.81,1.65,1.87,1.74,1.51,1.05,1.31,1.16,1.2,1.04,1.35,0.91,0.87,1.02,1.0
