,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,5.84,0.11,0.07,0.07,0.08,0.09,0.39,0.34,0.54,0.38,,0.37,0.52,0.28,0.28,0.43
e_1,0.08,5.85,0.09,0.07,0.07,0.1,0.28,0.17,0.6,0.36,0.43,0.4,0.55,,0.34,0.53
c_1,0.08,0.07,6.16,0.06,0.15,0.06,0.32,0.34,0.34,,0.34,0.22,0.77,0.44,0.3,0.74
d_1,0.08,0.08,0.08,6.31,0.09,,0.31,0.27,,0.83,0.3,0.37,0.76,0.28,0.31,0.5
b_1,0.08,0.08,0.09,0.07,7.25,0.16,0.36,0.26,0.45,0.35,0.36,,0.5,0.35,0.31,0.39
a_1,0.09,0.08,0.08,0.07,0.07,11.2,0.31,0.25,0.39,0.27,0.45,0.42,0.49,0.53,,
h_1,0.38,0.3,0.3,0.27,0.25,0.31,14.6,1.6,1.49,1.37,1.56,1.11,,1.58,1.08,2.53
g_1,0.28,0.26,0.22,0.42,0.28,0.27,1.08,17.75,1.49,1.15,2.72,1.89,1.26,1.19,1.03,
d_0,0.42,0.37,0.67,,0.38,0.39,1.93,1.12,11.2,1.86,1.8,1.98,3.12,1.4,3.04,2.6
c_0,0.54,0.39,,0.37,0.23,,1.22,1.49,1.86,12.9,2.13,4.03,3.18,1.9,1.33,3.13
f_0,,0.37,0.44,0.5,0.33,0.34,1.12,0.89,2.22,2.06,13.67,1.59,3.47,4.13,,3.12
b_0,0.33,0.37,0.39,0.39,,0.34,1.39,1.55,1.91,1.84,1.59,15.04,4.45,,3.97,2.24
h_0,0.63,0.49,0.52,0.65,0.61,0.49,,3.55,2.72,2.75,2.58,2.13,,3.03,4.22,6.01
e_0,0.38,,0.31,0.34,0.45,,1.43,1.47,2.23,2.7,1.65,2.59,1.52,20.35,2.62,3.94
a_0,0.25,0.46,0.39,0.52,0.26,,1.31,1.22,1.71,1.43,1.58,1.8,3.66,2.13,20.89,4.21
g_0,0.56,0.51,0.47,0.88,0.58,0.52,2.03,,2.5,2.69,3.93,2.9,4.01,3.58,2.56,
