,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.31,0.92,0.93,0.91,0.75,0.57,0.62,0.58,0.51,0.6,0.57,0.47,0.61,0.64,0.53
e_1,0.76,1.0,0.91,1.22,0.98,0.76,0.84,0.85,0.76,0.67,0.62,0.67,0.58,0.59,0.65,0.65
d_1,1.09,1.09,1.0,0.82,0.91,0.87,0.71,0.74,0.51,0.86,0.67,0.61,0.64,0.54,0.48,0.55
c_1,1.08,0.82,1.2,1.0,1.24,0.85,0.67,0.47,0.76,0.49,0.56,0.66,0.67,0.62,0.5,0.6
b_1,1.1,1.01,1.1,0.82,1.0,1.33,0.8,0.71,0.8,0.8,0.64,0.62,0.59,0.52,0.65,0.64
a_1,1.33,1.29,1.15,1.17,0.75,1.0,1.01,0.85,0.82,0.81,0.93,0.76,0.81,0.74,0.6,0.64
h_1,1.8,1.23,1.35,1.46,1.3,0.98,1.0,0.88,1.12,0.89,0.75,0.71,0.82,0.73,0.99,0.63
d_0,1.53,1.09,1.49,2.25,1.36,1.18,1.13,1.0,1.07,0.91,0.88,0.97,1.02,0.8,0.99,0.93
g_1,1.84,1.39,1.9,1.37,1.28,1.21,0.93,0.99,1.0,1.0,0.94,1.13,0.72,0.74,0.85,0.79
c_0,1.92,1.52,1.14,1.86,1.14,1.21,1.12,1.11,0.94,1.0,1.36,0.88,0.94,1.06,0.98,0.88
b_0,1.71,1.6,1.51,1.73,1.61,0.95,1.38,1.18,1.03,0.76,1.0,0.98,0.94,1.3,0.93,0.8
f_0,1.71,1.46,1.64,1.55,1.64,1.33,1.43,1.09,0.89,1.05,1.07,1.0,1.07,0.9,0.72,1.32
h_0,1.98,1.69,1.64,1.53,1.72,1.35,1.24,1.0,1.41,1.02,1.08,0.95,1.0,0.87,1.11,0.78
a_0,1.76,1.71,1.74,1.64,1.79,1.31,1.33,1.27,1.27,0.96,0.78,1.1,1.17,1.0,0.92,0.99
g_0,1.62,1.54,2.05,2.02,1.62,1.63,1.02,1.01,1.16,1.03,1.12,1.36,0.91,1.0,1.0,1.03
e_0,1.88,1.72,1.76,1.69,1.59,1.57,1.57,1.1,1.25,1.11,1.13,0.78,1.28,1.12,0.96,1.0
