,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.4,0.93,0.79,0.91,0.79,0.59,0.68,0.7,0.66,0.51,0.5,0.45,0.42,0.47,0.59
e_1,0.71,1.0,1.15,0.94,0.88,0.98,0.75,0.89,0.54,0.65,0.7,0.69,0.67,0.68,0.61,0.6
c_1,1.08,0.87,1.0,1.1,1.3,0.94,0.81,0.48,0.6,0.61,0.54,0.56,0.62,0.61,0.5,0.54
d_1,1.27,1.06,0.91,1.0,0.95,0.79,0.64,0.61,0.85,0.52,0.67,0.61,0.73,0.48,0.59,0.44
b_1,1.1,1.13,0.77,1.05,1.0,1.31,0.73,0.73,0.68,0.69,0.59,0.66,0.66,0.58,0.53,0.54
a_1,1.27,1.02,1.07,1.27,0.77,1.0,0.96,0.93,0.82,0.98,0.98,0.78,0.65,0.66,,0.66
h_1,1.73,1.31,1.26,1.58,1.41,1.03,1.0,1.01,0.76,1.22,0.86,0.83,1.06,0.85,0.83,1.03
d_0,1.44,1.1,2.07,1.6,1.46,1.03,0.97,1.0,1.02,1.03,1.02,0.95,0.9,0.86,0.75,0.86
c_0,1.49,1.8,1.84,1.14,1.49,1.21,1.3,0.96,1.0,1.04,1.4,1.08,0.88,0.8,0.88,0.89
g_1,1.54,1.53,1.7,1.91,1.43,0.98,0.81,1.0,0.96,1.0,0.96,1.23,0.77,0.98,0.87,0.52
b_0,1.97,1.39,2.05,1.41,1.8,0.93,1.11,1.02,0.76,1.09,1.0,0.91,0.93,1.09,1.29,0.84
f_0,1.87,1.51,1.7,1.63,1.49,1.19,1.23,1.07,0.94,0.81,1.06,1.0,0.96,1.36,0.94,0.7
h_0,2.26,1.45,1.67,1.48,1.46,1.54,0.96,1.18,1.16,1.26,1.09,1.06,1.0,0.9,0.97,1.22
e_0,2.56,1.33,1.6,2.07,1.55,1.53,1.21,1.12,1.28,1.03,0.92,0.8,1.07,1.0,1.17,1.14
a_0,2.16,1.59,2.05,1.82,1.92,,1.22,1.36,1.19,1.16,0.74,1.02,1.03,1.05,1.0,1.11
g_0,1.7,1.62,1.86,2.24,1.74,1.51,0.97,1.22,1.11,,1.12,1.35,0.82,0.91,0.92,
