,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.69,0.39,0.41,0.36,0.26,0.28,0.26,0.25,0.28,0.26,0.16,0.23,0.2,0.14,0.19
e_1,0.48,0.94,0.45,0.51,0.36,0.28,0.32,0.3,0.29,0.46,0.29,0.26,0.26,0.22,0.15,0.21
d_1,0.55,0.46,0.95,0.44,0.35,0.29,0.31,0.24,0.43,0.19,0.29,0.24,0.24,0.21,0.19,0.2
c_1,0.53,0.4,0.45,0.94,0.71,0.27,0.33,0.26,0.19,0.22,0.23,0.26,0.26,0.21,0.19,0.24
b_1,0.55,0.5,0.55,0.36,0.94,0.49,0.38,0.29,0.32,0.27,0.2,0.29,0.26,0.19,0.22,0.2
a_1,0.58,0.52,0.63,0.58,0.42,0.94,0.39,0.28,0.32,0.31,0.29,0.28,0.3,0.2,0.26,0.31
h_1,0.9,0.71,0.76,0.68,0.54,0.45,0.75,0.48,0.36,0.42,0.43,0.4,0.36,0.34,0.27,0.43
g_1,0.67,0.73,1.07,0.7,0.58,0.51,0.48,0.76,0.53,0.46,0.42,0.58,0.43,0.34,0.36,0.26
c_0,1.0,0.79,0.7,0.58,0.56,0.52,0.61,0.41,0.67,0.54,0.75,0.43,0.43,0.42,0.36,0.43
d_0,0.84,0.65,0.67,1.24,0.69,0.51,0.52,0.48,0.35,0.66,0.4,0.46,0.44,0.36,0.36,0.32
b_0,0.87,0.81,0.81,0.91,0.55,0.43,0.62,0.48,0.41,0.56,0.68,0.45,0.53,0.63,0.42,0.42
f_0,0.87,0.77,0.95,0.81,0.69,0.52,0.59,0.43,0.49,0.46,0.49,0.66,0.48,0.36,0.59,0.35
h_0,1.13,0.84,1.01,0.82,0.78,0.49,0.45,0.56,0.53,0.51,0.41,0.48,0.36,0.36,0.36,0.47
a_0,1.0,0.9,0.95,0.9,0.76,0.33,0.61,0.54,0.54,0.56,0.41,0.48,0.6,0.63,0.4,0.43
e_0,1.33,0.68,1.02,0.85,0.79,0.41,0.73,0.48,0.58,0.52,0.5,0.43,0.6,0.44,0.64,0.4
g_0,0.96,0.83,1.27,0.87,0.92,0.53,0.56,0.37,0.53,0.52,0.48,0.7,0.48,0.46,0.42,0.36
