,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.3,0.92,0.9,0.77,0.61,0.39,0.44,0.39,0.34,0.36,0.35,0.28,0.28,0.29,0.22
e_1,0.77,1.0,0.94,1.06,0.92,0.79,0.5,0.45,0.61,0.42,0.44,0.46,0.35,0.33,0.35,0.31
d_1,1.11,1.03,1.0,0.98,0.92,0.69,0.51,0.38,0.45,0.51,0.45,0.36,0.37,0.36,0.26,0.33
c_1,1.12,0.95,1.02,1.0,1.25,0.84,0.52,0.46,0.32,0.4,0.34,0.41,0.39,0.37,0.31,0.3
b_1,1.28,1.08,1.08,0.81,1.0,1.19,0.63,0.51,0.51,0.54,0.49,0.42,0.46,0.33,0.4,0.38
a_1,1.63,1.28,1.45,1.19,0.87,1.0,0.75,0.64,0.56,0.69,0.65,0.52,0.56,0.47,0.42,0.4
h_1,2.6,2.0,1.96,1.92,1.64,1.28,1.0,1.08,0.92,0.76,0.8,0.7,0.7,0.62,0.78,0.63
g_1,2.24,2.24,2.55,2.1,1.93,1.55,0.97,1.0,1.0,0.88,0.93,0.97,0.69,0.77,0.73,0.68
d_0,2.41,1.68,2.03,3.15,2.01,1.68,1.13,0.96,1.0,0.76,1.0,0.83,0.9,0.82,0.74,0.83
c_0,2.97,2.34,1.96,2.49,1.78,1.53,1.26,1.15,1.18,1.0,1.4,0.83,0.98,0.92,0.82,0.86
b_0,2.84,2.3,2.22,2.91,1.99,1.5,1.27,1.16,1.02,0.75,1.0,0.85,0.9,1.17,0.72,0.78
f_0,2.79,2.31,2.8,2.49,2.25,1.94,1.43,1.02,1.2,1.13,1.16,1.0,0.93,0.93,0.71,1.21
h_0,3.48,2.93,2.7,2.59,2.16,1.8,1.44,1.48,1.13,1.03,1.12,1.0,1.0,0.92,1.01,0.75
a_0,3.44,3.0,2.82,2.86,2.89,2.02,1.52,1.29,1.32,1.04,0.9,1.11,1.04,1.0,0.98,0.95
g_0,3.33,2.79,3.77,3.19,2.5,2.26,1.27,1.38,1.39,1.23,1.32,1.46,1.01,1.09,1.0,1.06
e_0,4.72,3.29,2.97,3.24,2.69,2.44,1.57,1.55,1.33,1.18,1.26,0.81,1.32,1.12,0.97,1.0
