,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,1.03,1.12,1.59,3.75,18.98,30.6,32.13,27.53,,48.25,57.2,72.25,94.43,92.31
e_1,0.83,1.0,1.23,1.13,1.42,4.06,17.97,22.41,36.06,31.45,37.76,47.15,66.23,,75.38,107.82
c_1,0.97,0.82,1.0,0.92,1.76,2.88,17.34,30.79,18.31,,28.03,30.48,68.58,90.42,69.26,119.11
d_1,0.89,0.88,1.08,1.0,1.51,,17.13,19.08,,42.06,23.62,38.5,58.29,66.38,58.36,68.76
b_1,0.63,0.7,0.57,0.66,1.0,3.64,14.42,17.22,20.34,26.41,23.81,,36.79,48.01,61.94,56.18
a_1,0.27,0.25,0.35,,0.27,1.0,5.11,7.29,7.79,,11.0,13.71,17.07,,,
h_1,0.05,0.06,0.06,0.06,0.07,0.2,1.0,1.8,1.34,1.85,2.21,2.18,,4.74,4.27,6.31
g_1,0.03,0.04,0.03,0.05,0.06,0.14,0.56,1.0,1.19,1.04,2.22,1.82,1.35,2.75,2.93,
d_0,0.03,0.03,0.05,,0.05,0.13,0.75,0.84,1.0,1.15,1.11,1.63,2.35,2.34,4.12,3.78
c_0,0.04,0.03,,0.02,0.04,,0.54,0.96,0.87,1.0,1.09,2.06,2.05,2.16,2.59,3.48
f_0,,0.03,0.04,0.04,0.04,0.09,0.45,0.45,0.9,0.92,1.0,1.3,2.06,3.8,,2.68
b_0,0.02,0.02,0.03,0.03,,0.07,0.46,0.55,0.62,0.49,0.77,1.0,1.99,,2.87,2.04
h_0,0.02,0.02,0.01,0.02,0.03,0.06,,0.74,0.43,0.49,0.49,0.5,,1.91,1.51,2.07
e_0,0.01,,0.01,0.02,0.02,,0.21,0.36,0.43,0.46,0.26,,0.52,1.0,1.16,1.31
a_0,0.01,0.01,0.01,0.02,0.02,,0.23,0.34,0.24,0.39,,0.35,0.66,0.86,1.0,1.54
g_0,0.01,0.01,0.01,0.01,0.02,,0.16,,0.26,0.29,0.37,0.49,0.48,0.76,0.65,
