,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.66,1.48,1.33,1.31,1.24,1.07,0.52,0.38,0.51,0.7,0.48,0.41,0.39,0.29,0.41,0.36
e_1,1.25,0.66,0.84,1.55,1.29,1.15,0.79,0.71,0.49,0.62,0.54,0.5,0.4,0.4,0.49,0.7
f_1,1.28,1.49,0.65,1.29,1.14,1.18,0.49,0.56,0.41,0.44,0.46,0.63,0.28,0.36,0.4,0.42
c_1,1.63,1.12,1.34,0.64,1.55,1.19,0.68,0.67,0.67,0.31,0.39,0.41,0.39,0.44,0.4,0.5
b_1,1.42,1.42,1.73,0.87,0.62,1.61,0.58,0.61,0.65,0.59,0.77,0.57,0.45,0.47,0.42,0.44
a_1,1.82,1.59,1.76,1.84,0.93,0.57,0.84,0.74,0.65,0.68,0.82,0.72,0.62,0.44,1.48,0.6
h_1,1.95,1.73,2.11,1.94,2.2,1.81,0.56,1.06,0.74,0.68,0.7,0.72,0.74,0.66,0.73,0.68
g_1,2.44,2.08,2.3,2.05,2.17,1.92,0.72,0.54,0.75,0.78,0.76,0.79,0.49,0.78,0.74,0.72
c_0,1.42,2.05,2.61,3.72,2.22,1.85,0.94,1.13,0.6,1.04,0.95,0.76,0.75,0.61,0.87,0.76
d_0,2.52,1.36,2.34,2.68,2.27,2.0,1.06,1.41,0.75,0.61,0.73,0.76,0.66,0.66,0.87,0.82
b_0,1.87,2.05,2.27,3.75,2.78,1.84,1.06,1.07,0.5,0.94,0.59,0.76,0.66,0.63,1.13,0.71
f_0,2.26,2.2,2.85,2.97,2.43,1.96,1.09,0.88,0.94,0.97,0.97,0.58,0.85,0.47,0.82,0.95
h_0,2.32,2.64,3.04,2.34,2.39,1.95,1.43,1.3,0.83,0.92,0.88,0.8,0.94,0.83,0.72,0.83
g_0,2.59,2.7,3.09,2.68,2.53,2.81,0.93,1.55,0.98,0.96,0.93,1.12,0.6,0.96,0.92,0.95
a_0,2.65,2.64,2.98,2.8,3.89,2.55,1.16,1.08,0.82,1.0,0.53,0.93,1.01,0.75,0.55,0.92
e_0,3.05,3.04,3.36,2.32,2.7,2.5,1.16,1.04,0.99,1.0,1.03,0.61,0.8,0.73,1.02,0.55
