,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.66,2.28,2.28,1.86,2.27,1.94,0.81,0.62,0.96,0.72,1.57,0.75,0.51,0.65,0.69,0.44
f_1,1.95,0.66,2.43,2.27,1.72,1.9,0.76,1.06,0.78,0.74,0.78,0.91,0.54,0.69,0.69,0.67
e_1,2.34,1.32,0.66,2.08,2.22,1.78,1.17,1.1,0.83,0.78,0.85,0.84,0.69,0.88,2.45,0.72
c_1,2.67,2.37,1.88,0.64,2.8,1.97,0.9,0.94,1.58,0.72,0.46,0.76,0.63,0.81,0.63,0.72
b_1,2.11,2.51,2.06,1.47,0.62,3.89,1.06,0.95,0.96,1.43,0.87,0.64,0.71,0.89,0.76,0.6
a_1,2.61,2.3,2.68,3.24,1.23,0.59,1.42,1.23,0.92,1.31,1.19,0.98,0.99,2.05,0.94,0.75
h_1,2.95,2.87,2.42,2.85,2.63,2.13,0.59,1.34,0.98,0.94,0.96,0.99,1.07,0.84,0.91,0.79
g_1,3.05,3.25,2.74,2.63,2.92,2.58,1.01,0.57,0.9,1.0,0.88,1.07,0.74,0.96,0.8,1.23
c_0,1.61,3.37,3.3,5.66,2.7,2.76,1.37,1.46,0.65,1.23,1.14,1.34,0.9,1.06,1.14,0.91
b_0,2.55,3.08,3.19,3.53,6.58,2.09,1.28,1.32,0.64,0.66,1.16,1.03,0.78,1.12,0.95,0.78
d_0,4.89,3.35,1.71,3.24,3.59,2.46,1.94,1.85,1.21,1.06,0.68,1.16,0.92,1.01,1.31,0.79
f_0,3.04,7.16,2.96,2.71,3.44,3.36,1.4,1.02,0.89,1.03,1.12,0.64,0.89,0.89,1.36,0.59
h_0,3.34,4.12,3.28,3.58,3.54,2.19,2.73,1.43,1.06,1.23,1.11,1.15,1.47,1.0,1.1,1.06
a_0,4.03,3.4,3.29,3.24,3.1,4.48,1.66,1.53,1.15,0.75,1.21,1.44,1.19,0.6,0.93,1.17
e_0,3.02,3.94,5.74,3.79,3.57,2.55,1.4,1.74,1.08,1.19,1.12,0.6,0.89,1.33,0.59,0.96
g_0,3.32,3.92,4.53,3.56,3.52,3.26,1.31,2.4,1.26,1.43,1.73,1.33,0.96,0.86,1.24,1.46
