,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.44,38.18,28.72,31.99,27.67,28.02,7.52,6.39,6.71,11.57,7.12,,6.61,3.84,7.73,7.12
e_1,20.29,0.44,48.14,33.74,31.55,42.67,7.69,6.69,5.47,10.62,8.02,11.25,7.85,4.26,,5.33
d_1,38.56,42.22,0.42,37.4,34.97,48.15,14.6,5.92,,6.47,6.22,7.52,8.24,4.05,8.19,2.96
c_1,39.39,48.26,53.93,0.41,54.7,36.34,9.49,,3.6,8.62,7.1,6.09,11.08,4.81,7.66,3.65
b_1,31.25,39.14,40.56,21.07,0.4,38.84,13.35,7.57,8.41,11.51,,6.48,7.14,7.35,5.8,6.12
a_1,52.22,51.98,52.14,51.16,23.92,0.34,15.73,9.72,10.99,10.9,9.24,6.94,,5.44,10.39,6.23
h_1,15.69,18.74,21.93,25.26,22.64,14.78,0.38,4.5,3.88,7.26,3.22,3.75,2.46,,2.49,1.8
c_0,15.19,18.33,7.69,,17.27,14.71,3.66,0.53,3.2,4.46,2.89,3.59,2.88,1.7,3.5,2.07
d_0,16.68,8.3,,12.91,12.37,17.31,4.02,4.55,0.5,4.58,3.48,3.42,2.84,1.68,5.47,2.29
g_1,22.14,19.19,19.18,18.17,16.43,25.85,6.0,3.6,4.98,0.34,3.47,3.81,3.68,3.42,,
b_0,13.77,18.0,14.05,22.18,,17.51,4.36,1.72,3.31,4.59,0.49,3.55,4.45,1.89,3.96,2.12
f_0,,16.68,16.06,14.33,18.42,19.09,3.92,4.78,2.82,3.04,3.98,0.46,6.0,2.67,3.26,1.6
a_0,21.41,21.31,22.27,19.77,27.73,,4.2,4.19,4.48,4.67,2.08,3.58,0.41,3.0,4.68,
h_0,16.82,12.22,12.37,13.35,13.38,13.1,,2.07,3.95,3.0,3.13,3.02,2.07,,1.55,2.41
e_0,22.2,,22.16,20.6,28.16,19.2,5.1,4.13,3.7,,5.89,1.91,3.42,2.68,0.39,
g_0,18.03,12.9,14.91,17.41,15.54,13.21,2.94,3.15,4.15,,2.85,2.76,,2.16,,
