,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.08,1.49,2.54,2.59,2.67,2.43,0.71,0.74,0.53,0.45,0.65,0.52,0.34,0.47,0.66,0.46
f_1,2.12,1.09,2.41,2.61,2.57,1.96,0.53,0.76,0.5,0.48,0.62,0.49,0.26,0.47,0.42,0.36
d_1,3.34,2.93,1.08,2.42,2.39,2.34,0.66,0.49,0.84,0.5,0.5,0.54,0.33,0.52,0.4,0.23
c_1,2.25,2.59,3.23,1.1,2.78,2.67,0.7,0.73,0.34,0.7,0.52,0.48,0.4,0.53,0.56,0.39
b_1,2.75,3.5,2.67,1.79,1.1,2.64,0.85,0.72,0.59,0.69,0.54,0.7,0.4,0.53,0.59,0.37
a_1,4.55,4.93,4.26,4.09,2.25,1.12,1.21,1.41,0.88,0.79,0.81,1.36,0.68,1.46,0.82,0.53
h_1,8.82,9.54,8.58,9.66,8.93,8.26,1.55,2.36,2.26,1.6,1.74,2.02,1.69,1.87,1.54,1.49
g_1,11.21,12.74,10.38,11.94,10.3,9.04,2.65,1.55,2.43,2.14,2.22,2.12,1.15,1.97,1.96,1.86
d_0,7.93,11.16,18.11,12.66,12.67,12.43,3.79,3.76,1.82,2.31,2.86,2.46,1.85,2.26,2.54,2.53
c_0,15.72,13.94,8.32,20.13,14.53,10.94,4.23,3.8,3.84,1.85,3.5,2.76,2.1,2.86,2.23,1.91
f_0,15.06,18.57,13.25,15.39,13.0,12.15,4.03,2.63,3.15,2.67,1.82,3.14,2.09,2.6,3.05,1.41
b_0,14.06,14.76,11.6,20.52,16.13,13.65,4.13,5.15,3.62,1.6,3.55,1.86,2.05,2.82,2.6,2.01
h_0,17.56,18.19,17.53,18.26,18.55,14.71,6.28,5.56,4.24,3.61,3.55,3.62,3.5,4.05,3.25,2.77
a_0,20.93,22.33,18.63,20.13,25.04,24.58,6.33,6.3,4.3,3.59,4.22,2.16,2.58,2.16,4.05,3.31
e_0,33.96,26.33,21.31,24.53,18.9,16.71,5.26,4.84,5.86,4.46,2.77,4.76,3.75,3.8,2.15,2.47
g_0,24.16,26.93,22.96,23.97,22.16,24.29,4.63,7.35,5.42,4.5,4.06,4.8,2.73,4.01,4.46,4.1
