,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.12,4.23,3.95,4.44,3.9,3.72,0.98,0.92,1.7,0.73,1.63,0.88,0.85,0.48,0.97,0.76
e_1,2.51,1.12,3.8,5.5,5.44,4.43,1.32,1.01,1.36,1.01,1.09,0.96,0.83,0.72,1.7,0.69
d_1,4.63,6.04,1.12,5.11,4.51,4.64,1.26,1.97,0.76,0.98,0.89,0.83,0.75,0.57,0.86,0.41
c_1,5.03,3.98,6.92,1.12,5.21,4.88,1.4,0.5,1.58,2.12,0.86,1.02,1.01,0.62,0.88,0.67
b_1,6.49,5.1,6.92,3.0,1.12,5.3,1.7,1.25,1.63,1.49,1.27,1.98,1.17,0.91,0.99,1.09
a_1,10.39,7.93,7.64,8.59,4.37,1.14,2.96,2.36,2.44,1.86,1.73,3.25,7.3,1.36,1.45,1.35
h_1,15.61,13.81,12.3,15.18,15.24,12.83,1.71,2.95,4.01,2.46,2.85,2.62,2.48,3.29,2.67,1.85
d_0,21.02,10.59,28.53,20.56,21.93,18.09,6.01,2.26,6.29,4.54,4.0,4.25,3.79,2.92,3.77,3.31
g_1,20.2,19.32,20.3,18.42,20.68,18.26,3.89,4.84,1.78,3.63,3.47,4.35,3.18,2.29,4.18,4.14
c_0,21.64,19.96,10.47,40.86,24.74,17.92,5.63,5.72,6.61,2.29,3.66,4.29,3.98,3.01,4.01,3.06
f_0,42.78,20.64,21.63,21.39,20.24,20.2,7.43,5.39,4.84,3.82,2.22,4.94,3.68,3.29,4.81,1.75
b_0,23.61,20.64,18.28,33.9,47.46,19.78,6.55,4.74,6.06,2.25,3.89,2.17,4.75,3.59,4.53,3.31
a_0,43.29,29.06,31.82,36.22,42.57,44.16,8.75,7.37,8.28,4.51,5.01,2.99,2.63,5.01,5.83,3.89
h_0,28.41,31.31,32.13,32.86,30.16,30.63,11.79,6.84,9.76,5.9,6.39,6.36,5.97,9.09,5.92,4.73
e_0,48.48,55.88,27.58,28.46,29.24,35.17,10.05,5.87,8.96,6.19,3.27,6.51,5.79,4.34,2.52,3.68
g_0,39.96,39.05,34.83,37.94,36.19,42.2,7.82,6.98,14.22,7.01,8.18,8.25,6.91,4.25,6.75,8.07
