,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.18,14.14,14.91,11.98,10.89,11.51,2.17,4.05,3.33,2.33,,2.77,1.22,2.32,2.13,2.29
e_1,7.07,0.18,15.11,11.81,11.65,15.76,4.08,3.5,2.75,2.1,3.89,3.15,1.98,2.29,,1.67
d_1,11.99,13.26,0.17,13.55,12.83,18.44,3.86,2.6,,2.97,2.61,2.0,1.62,2.53,2.3,0.96
c_1,14.52,12.43,11.52,0.15,15.03,15.02,3.35,3.65,1.31,,2.59,2.78,2.08,2.3,2.27,2.01
b_1,14.77,12.36,14.21,7.2,0.13,12.97,3.7,3.27,2.26,3.0,2.32,,1.95,2.91,2.69,
a_1,11.51,20.26,18.44,15.02,6.92,0.09,3.79,2.28,1.92,3.0,3.35,3.48,1.95,,,1.64
h_1,3.29,3.95,3.16,3.46,3.31,2.48,0.07,0.91,0.7,0.69,0.59,0.72,,0.97,0.46,0.39
g_1,3.34,3.5,3.03,3.51,3.72,3.56,0.65,0.06,0.66,1.11,0.75,0.66,0.33,0.8,0.91,
d_0,2.79,1.27,,2.7,1.69,4.71,0.68,1.08,0.08,0.62,0.65,0.44,0.27,0.47,0.47,0.55
c_0,2.39,2.3,1.44,,3.45,3.0,0.76,0.86,0.54,0.08,0.4,0.66,0.36,0.63,0.55,0.27
f_0,,2.76,1.99,1.81,3.13,2.72,0.59,0.57,0.41,0.54,0.07,0.66,0.38,0.65,0.53,0.32
b_0,2.31,3.15,2.86,3.02,,2.78,0.81,0.69,0.55,0.23,0.66,0.06,0.38,,0.58,0.32
h_0,1.73,1.66,1.62,1.86,1.4,1.16,,0.54,0.39,0.47,0.26,0.31,,0.29,0.26,0.28
a_0,3.02,2.98,2.64,2.4,3.63,,0.97,0.5,0.47,0.36,0.65,,0.6,0.05,0.57,
e_0,3.31,,2.3,3.12,3.07,,0.56,0.62,0.72,0.45,0.24,0.79,0.46,0.48,0.05,
g_0,2.18,2.15,1.69,2.01,,1.43,0.43,,0.34,0.38,0.25,0.3,0.13,,,
