,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,36.12,0.06,0.13,0.07,0.07,0.05,0.37,0.3,0.33,0.4,0.47,,0.4,0.29,0.24,0.57
d_1,0.07,38.92,0.05,0.06,0.07,0.07,0.34,,0.32,0.6,0.35,0.3,0.74,0.47,0.44,0.59
e_1,0.07,0.07,38.92,0.05,0.07,0.09,0.23,0.69,0.22,0.44,0.33,0.34,0.64,0.35,,0.43
c_1,0.07,0.07,0.07,42.67,0.11,0.08,0.23,0.34,0.36,,0.31,0.41,0.59,0.36,0.3,0.67
b_1,0.07,0.08,0.06,0.05,48.68,0.13,0.38,0.37,0.21,0.31,,0.39,0.72,0.26,0.31,0.64
a_1,0.07,0.08,0.07,0.05,0.08,68.56,0.29,0.45,0.31,0.31,0.28,0.38,0.56,,0.5,0.44
h_1,0.31,0.17,0.3,0.31,0.2,0.22,27.78,1.19,1.43,1.99,1.41,1.54,,1.45,1.84,2.96
d_0,0.29,,0.3,0.89,0.37,0.37,1.32,17.06,1.15,1.86,2.32,1.53,2.85,2.17,1.84,3.54
g_1,0.24,0.38,0.19,0.19,0.31,0.26,1.2,1.82,34.61,1.12,1.37,2.14,1.92,1.22,1.65,
c_0,0.37,0.23,0.45,,0.29,0.27,1.57,2.29,1.24,18.82,3.6,2.27,3.35,1.7,1.86,2.72
b_0,0.31,0.41,0.32,0.39,,0.25,1.63,2.41,1.24,1.38,19.84,1.9,3.61,3.64,2.94,2.49
f_0,,0.36,0.36,0.31,0.46,0.46,1.49,2.2,1.7,1.96,2.08,23.87,2.32,1.88,2.33,2.83
h_0,0.98,0.59,0.48,0.47,0.51,0.49,,3.0,3.23,2.53,3.23,2.57,,2.07,3.79,5.17
a_0,0.28,0.42,0.42,0.33,0.26,,1.54,1.8,1.03,2.25,1.67,1.37,4.99,30.83,,3.46
e_0,0.34,0.44,,0.4,,,1.69,2.08,1.23,2.95,1.44,2.06,4.37,2.02,33.74,2.48
g_0,0.44,0.78,0.26,0.64,0.59,0.67,2.02,2.37,,2.91,3.64,5.96,3.39,3.47,2.48,
