,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.06,2.04,1.73,2.1,1.95,1.7,0.63,0.66,0.56,0.62,0.55,0.7,0.33,0.42,0.49,0.44
e_1,1.41,1.06,2.2,2.3,1.75,1.59,0.84,0.91,0.64,0.74,0.65,0.75,0.5,0.72,0.47,0.74
d_1,2.45,2.51,1.05,1.98,1.82,1.46,0.85,0.57,0.7,1.04,0.65,0.59,0.49,0.54,0.32,0.55
c_1,2.25,1.85,2.65,1.06,2.56,2.21,0.86,0.79,0.79,0.41,0.63,0.63,0.53,0.61,0.48,0.55
b_1,3.0,3.3,2.88,1.55,1.06,2.78,0.98,1.03,0.92,0.78,1.06,0.7,0.68,0.67,0.71,0.67
a_1,4.15,3.81,3.7,3.75,1.74,1.07,1.4,1.27,1.01,0.97,1.38,0.88,0.85,1.53,0.73,0.84
h_1,5.88,5.2,5.19,5.21,5.16,4.45,1.32,2.11,1.42,1.71,1.5,1.58,1.5,1.26,1.29,1.39
g_1,7.6,6.03,7.1,6.24,5.86,5.35,1.85,1.33,1.92,1.93,1.99,1.88,1.28,1.63,1.51,1.89
c_0,7.51,7.02,4.28,10.06,6.66,5.64,2.86,2.64,1.5,2.25,2.29,1.94,1.53,1.89,1.39,1.57
d_0,6.87,4.15,8.77,8.56,6.62,6.91,2.63,2.87,2.27,1.51,1.83,2.01,1.56,1.59,1.55,1.71
b_0,7.46,7.22,5.53,8.89,10.05,5.08,2.68,2.63,1.27,2.57,1.47,2.08,1.55,2.71,1.46,1.64
f_0,11.5,7.37,6.98,6.91,8.12,6.08,2.91,2.23,2.11,2.08,2.18,1.5,1.75,1.77,1.07,2.28
h_0,10.69,8.52,8.2,8.99,8.06,6.62,4.16,3.55,2.71,2.97,2.47,2.7,2.78,2.24,2.1,1.97
a_0,12.28,7.86,8.94,9.23,11.75,10.08,4.08,3.18,2.84,3.39,1.55,2.77,2.02,1.56,2.01,2.56
g_0,12.07,10.86,11.13,11.85,9.31,7.56,3.29,4.95,2.65,3.24,2.84,3.77,1.82,2.8,2.76,2.44
e_0,13.7,12.52,10.55,10.82,10.15,8.56,3.61,3.07,2.86,3.06,3.01,1.64,2.51,2.4,2.68,1.58
