,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,3.55,0.39,0.32,0.47,0.41,0.37,0.69,1.68,0.74,0.68,0.83,0.84,0.94,0.32,0.87,0.88
f_1,0.67,3.8,0.35,0.4,0.41,0.37,0.73,0.67,0.58,0.73,0.91,0.15,0.87,0.73,0.89,0.74
d_1,0.36,0.38,4.3,0.31,0.38,0.32,0.8,0.2,0.74,1.71,1.01,0.97,0.94,1.0,0.75,0.72
c_1,0.32,0.37,0.42,4.41,0.7,0.45,0.83,0.6,0.73,0.15,0.72,0.83,0.84,0.65,0.88,1.04
b_1,0.43,0.35,0.38,0.36,4.8,0.79,0.74,0.83,0.77,0.49,0.13,1.0,1.08,0.74,0.52,0.93
a_1,0.34,0.49,0.45,0.37,0.3,7.26,0.71,0.85,0.61,1.16,0.82,0.77,0.9,0.88,0.16,0.99
h_1,0.57,1.03,0.75,0.73,0.71,0.59,5.29,1.41,1.55,1.24,1.43,1.04,0.41,1.12,1.19,1.55
d_0,0.72,0.72,0.2,1.41,0.71,0.51,1.21,3.66,1.29,1.19,1.18,1.7,1.23,1.23,1.46,1.38
g_1,0.61,0.57,1.15,0.67,0.67,0.63,0.98,1.11,6.5,1.24,1.22,2.39,1.44,1.73,1.89,0.45
c_0,0.69,0.9,0.98,0.33,0.5,0.5,1.53,1.09,1.38,4.11,2.81,1.44,1.54,1.82,1.61,1.79
b_0,0.98,0.8,0.85,0.63,0.14,0.46,1.32,1.34,1.36,1.57,4.55,1.55,1.67,1.86,3.51,1.47
f_0,0.85,0.37,0.69,0.64,0.67,0.76,1.51,1.45,1.77,1.72,1.74,4.83,1.62,3.34,0.96,1.89
h_0,0.73,0.98,0.81,0.67,0.46,0.52,0.62,1.43,1.75,1.41,1.5,1.28,0.75,1.69,1.24,2.35
e_0,0.2,1.08,0.72,0.91,0.64,0.55,1.78,1.44,1.32,1.76,1.49,1.88,1.53,6.75,1.52,1.57
a_0,0.67,0.91,0.91,0.82,0.41,,1.48,1.29,1.96,1.28,1.72,1.16,1.61,2.11,6.88,1.56
g_0,0.5,0.62,1.09,0.97,0.73,0.45,1.26,1.2,0.58,1.42,1.05,2.1,1.31,1.51,1.12,0.59
