,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,1.0,0.92,1.61,1.85,3.33,19.81,35.05,27.79,30.4,45.82,52.0,84.56,97.81,124.58,124.25
d_1,1.0,1.0,1.11,1.12,1.52,2.89,15.31,25.84,20.1,33.49,42.94,43.59,70.49,78.76,91.02,87.06
f_1,1.07,0.89,1.0,1.13,1.46,2.81,12.33,22.12,24.67,22.73,35.86,36.7,65.85,79.55,76.31,90.79
c_1,0.62,0.88,0.9,1.0,1.86,2.7,14.01,14.82,19.98,19.82,25.47,34.44,55.37,63.29,80.89,86.04
b_1,0.53,0.66,0.67,0.54,1.0,3.49,10.3,14.06,16.11,19.35,23.24,25.44,50.88,41.06,61.17,63.16
a_1,0.31,0.35,0.36,0.36,0.29,1.0,5.34,7.38,8.27,8.57,14.02,13.0,23.5,28.56,30.53,32.94
h_1,0.05,0.06,0.08,0.07,0.1,0.18,1.0,1.3,1.73,1.6,2.35,2.32,4.55,5.14,5.4,6.54
d_0,0.03,0.04,0.04,0.07,0.07,0.14,0.81,1.0,1.1,0.91,1.64,1.57,3.29,3.53,3.49,4.24
g_1,0.04,0.05,0.04,0.05,0.06,0.12,0.59,0.9,1.0,1.1,1.54,2.12,2.44,3.08,4.09,4.19
c_0,0.03,0.03,0.04,0.05,0.05,0.12,0.64,1.14,0.93,1.0,2.07,1.59,3.11,3.38,3.49,3.33
b_0,0.02,0.02,0.03,0.04,0.04,0.07,0.42,0.61,0.67,0.49,1.0,1.08,2.03,3.0,2.39,2.38
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.4,0.66,0.46,0.64,0.89,1.0,1.61,2.19,3.42,2.1
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.22,0.3,0.41,0.33,0.5,0.58,1.0,0.99,1.12,1.57
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.19,0.28,0.34,0.28,0.33,0.49,1.0,1.0,1.15,1.14
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.28,0.25,0.27,0.43,0.31,0.89,0.9,1.0,1.07
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.24,0.23,0.31,0.41,0.48,0.63,0.9,0.89,1.01
