,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,1.03,0.81,1.76,2.03,3.2,23.3,26.23,38.69,29.88,53.16,46.29,95.91,110.47,128.55,159.21
d_1,0.96,1.0,1.16,1.16,1.66,2.99,19.98,18.03,25.06,36.82,37.9,43.39,71.68,83.45,105.75,96.75
f_1,1.22,0.87,1.0,1.28,1.34,2.42,15.63,19.79,26.96,26.29,28.66,34.91,48.6,63.11,88.82,124.7
c_1,0.57,0.86,0.79,1.0,1.91,2.14,15.33,15.78,14.53,18.02,28.38,24.64,58.91,54.64,70.18,81.42
b_1,0.49,0.6,0.76,0.53,1.0,2.89,12.08,13.3,15.78,20.7,22.58,25.82,45.94,54.32,44.76,77.76
a_1,0.31,0.34,0.41,0.47,0.35,1.0,7.11,7.11,8.04,10.4,13.46,15.19,23.28,28.18,40.23,43.13
h_1,0.04,0.05,0.06,0.07,0.09,0.14,1.0,1.29,1.25,1.46,2.0,1.83,3.9,4.62,5.19,7.07
g_1,0.04,0.06,0.05,0.06,0.08,0.14,0.78,1.0,1.21,1.39,2.35,1.93,2.75,3.98,4.62,5.7
d_0,0.03,0.04,0.04,0.07,0.06,0.12,0.82,0.83,1.0,1.06,1.44,1.2,2.69,3.07,3.28,5.06
c_0,0.03,0.03,0.04,0.06,0.05,0.09,0.68,0.75,0.99,1.0,1.37,1.8,2.57,3.12,4.03,4.35
f_0,0.02,0.03,0.03,0.04,0.04,0.08,0.5,0.42,0.69,0.72,1.0,0.98,1.94,3.19,2.27,2.84
b_0,0.02,0.02,0.03,0.04,0.04,0.07,0.55,0.53,0.81,0.58,1.06,1.0,1.92,2.12,3.47,3.28
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.26,0.37,0.37,0.38,0.52,0.55,1.0,1.14,1.18,1.84
e_0,0.01,0.01,0.02,0.02,0.02,0.03,0.22,0.27,0.33,0.33,0.32,0.46,0.87,1.0,1.21,1.39
a_0,0.01,0.01,0.01,0.02,0.02,0.02,0.21,0.21,0.31,0.23,0.42,0.29,0.8,0.78,1.0,1.25
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.18,0.2,0.24,0.36,0.32,0.55,0.7,0.74,1.01
