,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.67,3.56,5.42,5.61,5.48,5.16,2.66,2.47,2.35,2.17,2.33,2.01,1.79,2.01,1.77,
f_1,7.11,0.66,5.99,5.11,6.75,7.46,2.24,2.23,2.88,2.35,,1.94,1.05,1.52,1.59,1.56
c_1,5.64,5.73,0.65,6.44,7.08,5.14,2.37,1.42,2.39,,1.96,2.35,2.0,2.31,2.2,1.87
d_1,7.57,6.89,6.07,0.65,5.77,4.95,2.39,,1.9,2.44,2.21,2.04,1.59,1.94,1.23,2.09
b_1,6.58,6.2,3.97,6.29,0.63,7.14,2.93,2.16,2.81,2.11,3.3,,1.84,,1.33,1.93
a_1,7.76,5.28,8.17,7.64,3.97,0.58,3.13,2.47,2.19,3.88,2.57,,2.43,,2.34,
h_1,6.82,4.81,5.27,4.82,4.94,4.86,0.62,1.69,2.31,1.72,1.44,1.46,,1.38,1.55,1.83
d_0,2.93,4.86,5.47,,6.21,4.97,1.92,0.71,2.14,1.75,1.61,1.68,1.31,1.4,1.54,1.4
g_1,5.17,6.25,6.14,5.76,4.6,5.57,1.96,2.24,0.58,2.21,1.87,2.31,1.18,,,
c_0,5.03,4.21,,3.24,5.81,3.64,2.26,2.13,2.66,0.69,1.99,2.33,1.27,1.75,1.32,1.18
f_0,4.89,,4.58,5.71,4.11,4.49,2.39,1.79,1.84,1.71,0.69,1.97,2.39,1.54,0.95,2.0
b_0,6.36,6.22,5.55,6.11,,,2.39,2.04,2.21,1.04,1.78,0.65,1.47,2.34,1.61,
h_0,4.67,5.84,3.86,4.35,3.39,4.31,,2.01,2.42,1.56,1.22,1.49,,1.4,1.8,1.52
a_0,6.61,8.6,7.89,7.14,,,3.71,2.02,,2.43,2.07,1.25,1.72,0.6,1.59,
g_0,4.32,5.62,3.92,4.53,5.71,4.95,1.91,1.96,,1.84,2.56,1.8,1.15,1.88,,1.83
e_0,,7.17,7.67,6.13,7.01,,2.5,2.29,,3.04,1.23,,2.13,,1.32,0.6
