,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.74,0.87,0.73,0.99,0.8,0.74,0.96,0.92,1.52,0.88,0.96,0.96,0.99,0.93,0.96,0.81
f_1,1.28,1.76,0.75,0.82,0.68,0.62,0.97,0.87,1.0,0.85,0.96,0.71,0.86,0.88,0.96,0.71
d_1,0.74,0.9,1.99,0.66,0.77,0.75,0.98,1.1,0.69,1.67,1.3,1.22,1.04,1.01,1.08,1.02
c_1,0.73,0.77,0.83,1.9,1.3,0.87,0.88,0.95,0.92,0.64,0.65,0.87,1.01,0.95,0.95,0.89
b_1,0.76,0.8,0.82,0.83,2.07,1.34,0.94,0.82,0.88,1.01,0.73,0.88,1.02,0.93,0.71,1.08
a_1,0.78,0.87,0.82,0.84,0.82,2.86,1.08,1.08,0.95,0.81,0.94,0.96,1.07,1.07,0.77,1.03
h_1,0.84,1.06,0.91,0.89,0.8,0.76,1.74,1.18,0.89,0.95,1.08,1.15,0.83,1.39,1.09,1.23
g_1,0.84,0.81,1.29,0.8,0.78,0.84,0.98,2.02,0.69,1.04,1.11,1.57,1.08,0.95,1.1,1.31
d_0,0.83,0.93,0.74,1.38,0.88,0.77,0.99,0.94,1.39,0.74,1.01,0.97,1.12,1.05,1.01,1.21
c_0,0.87,0.93,1.0,0.75,0.72,0.76,1.13,1.01,1.03,1.55,2.02,1.12,1.07,1.24,1.39,1.16
b_0,0.92,0.92,1.01,0.9,0.77,0.72,1.09,1.05,0.9,0.96,1.65,1.04,1.11,1.18,2.05,1.14
f_0,0.72,0.76,1.02,0.95,0.86,1.07,1.02,1.1,0.99,1.15,1.16,1.86,1.13,1.32,1.2,2.11
h_0,0.9,1.22,0.92,0.85,0.77,0.78,0.83,1.25,0.93,1.0,1.0,1.04,0.88,1.26,1.0,1.01
g_0,0.81,0.85,1.35,0.91,0.76,0.68,1.04,0.85,0.84,1.02,1.04,1.54,1.1,1.0,0.99,1.1
a_0,0.94,0.94,0.86,1.01,0.8,0.77,0.99,0.91,1.01,1.03,1.15,1.02,1.16,1.04,2.11,1.04
e_0,0.65,0.88,1.02,1.04,0.87,0.88,1.16,1.01,0.97,1.03,1.14,1.16,1.06,1.13,1.15,2.13
